#id (do not edit)                ,enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_12,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_13,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_14,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_15,caliber_length_modifier_5,#,#,#,#,#,#,#,#,#,#
default,1,,,,,,-1,-1,1,40,,-1,-1,1,45,,-1,-1,1,45,,-1,-1,1,50,,-1,-1,1,50,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_2_x1,,51,gun_2_x1,,,brandenburg_gun_76_x1,0.452,0.624,0.92,,jap_tb_gun_76_x1,1.25,1.435,0.92,,jap_tb_gun_76_x1,1.25,1.435,0.92,,iowa_gun_127_x1,0.5,0.68,0.92,,iowa_gun_127_x1,0.5,0.68,0.92,,,,,,,,,,,
gun_2_x2,,51,gun_2_x2,,,maine_gun_152_x2,0.504,0.698,0.7,,maine_gun_230_x2,0.46,0.586,0.7,,spee_gun_150_x2,0.596,0.722,0.7,,iowa_gun_127_x2,0.5,0.68,0.7,,iowa_gun_127_x2,0.5,0.68,0.7,,,,,,,,,,,
gun_2_x3,,51,gun_2_x3,,,maine_gun_152_x3,0.504,0.698,0.55,,maine_gun_230_x3,0.46,0.586,0.55,,spee_gun_150_x3,0.596,0.722,0.55,,iowa_gun_127_x3,0.5,0.68,0.55,,iowa_gun_127_x3,0.5,0.68,0.55,,,,,,,,,,,
gun_2_x4,,51,gun_2_x4,,,iowa_gun_127_x4,0.5,0.68,0.5,,iowa_gun_127_x4,0.5,0.68,0.5,,iowa_gun_127_x4,0.5,0.68,0.5,,iowa_gun_127_x4,0.5,0.68,0.5,,iowa_gun_127_x4,0.5,0.68,0.5,,,,,,,,,,,
gun_3_x1,,76,gun_3_x1,,,brandenburg_gun_76_x1,0.634,0.806,1,,jap_tb_gun_76_x1,1.445,1.63,1,,jap_tb_gun_76_x1,1.445,1.63,1,,iowa_gun_127_x1,0.7,0.88,1,,iowa_gun_127_x1,0.7,0.88,1,,,,,,,,,,,
gun_3_x2,,76,gun_3_x2,,,maine_gun_152_x2,0.718,0.912,1.08,,maine_gun_230_x2,0.596,0.722,1.08,,spee_gun_150_x2,0.732,0.858,1.08,,iowa_gun_127_x2,0.7,0.88,1.08,,iowa_gun_127_x2,0.7,0.88,1.08,,,,,,,,,,,
gun_3_x3,,76,gun_3_x3,,,maine_gun_152_x3,0.718,0.912,0.83,,maine_gun_230_x3,0.596,0.722,0.83,,spee_gun_150_x3,0.732,0.858,0.83,,iowa_gun_127_x3,0.7,0.88,0.83,,iowa_gun_127_x3,0.7,0.88,0.83,,,,,,,,,,,
gun_3_x4,,76,gun_3_x4,,,iowa_gun_127_x4,0.7,0.88,0.74,,iowa_gun_127_x4,0.7,0.88,0.74,,iowa_gun_127_x4,0.7,0.88,0.74,,iowa_gun_127_x4,0.7,0.88,0.74,,iowa_gun_127_x4,0.7,0.88,0.74,,,,,,,,,,,
gun_4_x1,,102,gun_4_x1,,,brandenburg_gun_76_x1,0.816,0.988,1.1,,jap_tb_gun_76_x1,1.64,1.825,1.1,,jap_tb_gun_76_x1,1.64,1.825,1.1,,dd_s_gun_b_102_x1,1.054,1.1895,1.1,,dd_s_gun_b_102_x1,1.054,1.1895,1.1,,,,,,,,,,,
gun_4_x2,,102,gun_4_x2,,,maine_gun_152_x2,0.932,1.126,1.28,,maine_gun_230_x2,0.732,0.858,1.28,,spee_gun_150_x2,0.868,0.994,1.28,,pola_gun_100_x2,0.868,0.994,1.28,,atl_gun_125_x2,0.868,0.994,1.28,,,,,,,,,,,
gun_4_x3,,102,gun_4_x3,,,maine_gun_152_x3,0.932,1.126,1,,maine_gun_230_x3,0.732,0.858,1,,spee_gun_150_x3,0.868,0.994,1,,pola_gun_100_x3,0.868,0.994,1,,atl_gun_125_x3,0.868,0.994,1,,,,,,,,,,,
gun_4_x4,,102,gun_4_x4,,,pola_gun_100_x4,0.868,0.994,0.85,,pola_gun_100_x4,0.868,0.994,0.85,,pola_gun_100_x4,0.868,0.994,0.85,,pola_gun_100_x4,0.868,0.994,0.85,,atl_gun_125_x4,0.868,0.994,0.85,,,,,,,,,,,
gun_5_x1,,127,gun_5_x1,,,brandenburg_gun_76_x1,0.998,1.08,0.85,,jap_tb_gun_76_x1,1.835,2.02,0.85,,dd_s_gun_d_102_x1,1.1995,1.335,0.85,,dd_s_gun_d_102_x1,1.1995,1.335,0.85,,dd_s_gun_b_102_x1,1.1995,1.335,0.85,,,,,,,,,,,
gun_5_x2,,127,gun_5_x2,,,maine_gun_152_x2,1.146,1.34,0.95,,maine_gun_230_x2,0.868,0.994,0.95,,spee_gun_150_x2,1.004,1.13,0.95,,pola_gun_100_x2,1.004,1.13,0.95,,atl_gun_125_x2,1.004,1.13,0.95,,,,,,,,,,,
gun_5_x3,,127,gun_5_x3,,,maine_gun_152_x3,1.146,1.34,0.75,,maine_gun_230_x3,0.868,0.994,0.75,,spee_gun_150_x3,1.004,1.13,0.75,,pola_gun_100_x3,1.004,1.13,0.75,,atl_gun_125_x3,1.004,1.13,0.75,,,,,,,,,,,
gun_5_x4,,127,gun_5_x4,,,pola_gun_100_x4,1.004,1.13,0.68,,pola_gun_100_x4,1.004,1.13,0.68,,pola_gun_100_x4,1.004,1.13,0.68,,pola_gun_100_x4,1.004,1.13,0.68,,atl_gun_125_x4,1.004,1.13,0.68,,,,,,,,,,,
gun_6_x1,,152,gun_6_x1,,,dd_s_gun_d_102_x1,1.345,1.4805,0.75,,dd_s_gun_c_102_x1,1.345,1.4805,0.75,,dd_s_gun_c_102_x1,1.345,1.4805,0.75,,dd_s_gun_b_102_x1,1.345,1.4805,0.75,,dd_s_gun_b_102_x1,1.345,1.4805,0.75,,,,,,,,,,,
gun_6_x2,,152,gun_6_x2,,,tsesarevich_gun_152_x2,0.955,1.0895,0.86,,agamemnon_gun_b_228_x2,1.14,1.266,0.86,,dreadnought_gun_178_x2,1.14,1.266,0.86,,dido_gun_cal133_x2,1.14,1.266,0.86,,yamato_gun_155_x2,0.7772,0.8808,0.86,,,,,,,,,,,
gun_6_x3,,152,gun_6_x3,,,tsesarevich_gun_152_x3,0.955,1.0895,0.66,,agamemnon_gun_b_228_x3,1.14,1.266,0.66,,dreadnought_gun_178_x3,1.14,1.266,0.66,,dido_gun_cal133_x3,1.14,1.266,0.66,,yamato_gun_155_x3,0.7772,0.8808,0.66,,,,,,,,,,,
gun_6_x4,,152,gun_6_x4,,,agamemnon_gun_b_228_x4,1.14,1.266,0.6,,agamemnon_gun_b_228_x4,1.14,1.266,0.6,,dreadnought_gun_178_x4,1.14,1.266,0.6,,dido_gun_cal133_x4,1.14,1.266,0.6,,yamato_gun_155_x4,0.7772,0.8808,0.6,,,,,,,,,,,
gun_7_x1,,178,gun_7_x1,,,dd_s_gun_d_102_x1,1.4905,1.626,0.8,,dd_s_gun_c_102_x1,1.4905,1.626,0.8,,dd_s_gun_c_102_x1,1.4905,1.626,0.8,,dd_s_gun_b_102_x1,1.4905,1.626,0.8,,dd_s_gun_b_102_x1,1.4905,1.626,0.8,,,,,,,,,,,
gun_7_x2,,178,gun_7_x2,,,tsesarevich_gun_152_x2,1.1095,1.244,0.9,,agamemnon_gun_b_228_x2,1.276,1.402,0.9,,dreadnought_gun_178_x2,1.276,1.402,0.9,,mont_gun_152_x2,1.057,1.167,0.9,,british_adv_cruiser_152_gun_x2,0.819,0.918,0.9,,,,,,,,,,,
gun_7_x3,,178,gun_7_x3,,,tsesarevich_gun_152_x3,1.1095,1.244,0.705,,agamemnon_gun_b_228_x3,1.276,1.402,0.705,,dreadnought_gun_178_x3,1.276,1.402,0.705,,mont_gun_152_x3,1.057,1.167,0.705,,british_adv_cruiser_152_gun_x3,0.819,0.918,0.705,,,,,,,,,,,
gun_7_x4,,178,gun_7_x4,,,agamemnon_gun_b_228_x4,1.276,1.402,0.64,,agamemnon_gun_b_228_x4,1.276,1.402,0.64,,dreadnought_gun_178_x4,1.276,1.402,0.64,,mont_gun_152_x4,1.057,1.167,0.64,,british_adv_cruiser_152_gun_x4,0.819,0.918,0.64,,,,,,,,,,,
gun_8_x1,,203,gun_8_x1,,,friedrich_gun_228_x1,0.8194,0.8976,1.17,,agamemnon_gun_228_x1,1.0184,1.1311,1.17,,nelson_gun_152_x1,1.1544,1.2626,1.17,,mont_gun_152_x1,1.184,1.294,1.17,,british_adv_cruiser_152_gun_x1,0.928,1.027,1.17,,,,,,,,,,,
gun_8_x2,,203,gun_8_x2,,,friedrich_gun_228_x2,0.8194,0.8976,0.88,,agamemnon_gun_228_x2,1.0184,1.1311,0.88,,nelson_gun_152_x2,1.1544,1.2626,0.88,,mont_gun_152_x2,1.184,1.294,0.88,,british_adv_cruiser_152_gun_x2,0.928,1.027,0.88,,,,,,,,,,,
gun_8_x3,,203,gun_8_x3,,,friedrich_gun_228_x3,0.8194,0.8976,0.69,,agamemnon_gun_228_x3,1.0184,1.1311,0.69,,nelson_gun_152_x3,1.1544,1.2626,0.69,,mont_gun_152_x3,1.184,1.294,0.69,,british_adv_cruiser_152_gun_x3,0.928,1.027,0.69,,,,,,,,,,,
