#id (do not edit),enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),,,"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,#comment,#BASE,model_1,weight_modifier_1,scale_1,max_scale_1,caliber_length_modifier_1,#model_STD_1,#caliber_EST_1,#weight_EST_1,model_2,weight_modifier_2,scale_2,max_scale_2,caliber_length_modifier_2,#model_STD_2,#caliber_EST_2,#weight_EST_2,model_3,weight_modifier_3,scale_3,max_scale_3,caliber_length_modifier_3,#model_STD_3,#caliber_EST_3,#weight_EST_3,model_4,weight_modifier_4,scale_4,max_scale_4,caliber_length_modifier_4,#model_STD_4,#caliber_EST_4,#weight_EST_4,model_5,weight_modifier_5,scale_5,max_scale_5,caliber_length_modifier_5,#model_STD_5,#caliber_EST_5,#weight_EST_5,#,#,#,#
default,1,,,,,,,,1,-1,-1,1,,,,,1,-1,-1,1,,,,,1,-1,-1,1,,,,,1,-1,-1,1,,,,,1,-1,-1,1,,,,,,,
###,,,###,,,默认模型部分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_2_x1,,51,gun_2_x1,,,,0.1197,brandenburg_gun_76_x1,0.7,0.8,0.975,,0.8687,36.4259,1.0746,brandenburg_gun_76_x1,0.7,0.825,0.99,,0.8796,37.7008,1.088,jap_tb_gun_76_x1,0.6,1.2,1.33575,,1.501,52.2026,1.249,hood_gun_140_x1,1,0.875,0.901875,,0.8173,61.5624,1.5706,iowa_gun_127_x1,1.1,0.8,0.975,,0.9641,58.1928,1.4523,,,,
gun_2_x2,,51,gun_2_x2,,,,0.1197,dreadnought_gun_178_x2,4,0.7,0.73125,,0.5773,49.9376,1.3608,dreadnought_gun_178_x2,4.05,0.725,0.755625,,0.5845,51.6854,1.3779,dreadnought_gun_178_x2,4.1,0.75,0.78,,0.5918,53.4944,1.3951,hood_gun_140_x2,1,0.875,0.901875,,0.8173,61.5624,1.5706,iowa_gun_127_x2,1.1,0.8,0.975,,0.9641,58.1928,1.4523,,,,
gun_2_x3,,51,gun_2_x3,,,,0.1197,dreadnought_gun_178_x3,4,0.7,0.73125,,0.5773,49.9376,1.3608,dreadnought_gun_178_x3,4.05,0.725,0.755625,,0.5845,51.6854,1.3779,dreadnought_gun_178_x3,4.1,0.75,0.78,,0.5918,53.4944,1.3951,hood_gun_140_x3,1,0.875,0.901875,,0.8173,61.5624,1.5706,iowa_gun_127_x3,1.1,0.8,0.975,,0.9641,58.1928,1.4523,,,,
gun_2_x4,,51,gun_2_x4,,,,0.1197,dreadnought_gun_178_x4,4,0.7,0.73125,,0.5773,49.9376,1.3608,dreadnought_gun_178_x4,4.05,0.725,0.755625,,0.5845,51.6854,1.3779,dreadnought_gun_178_x4,4.1,0.75,0.78,,0.5918,53.4944,1.3951,richelieu_gun_120_x4,1.14,1.05,1.12125,,0.9533,43.9543,1.0288,richelieu_gun_120_x4,1.16,1.063125,1.135265625,,0.9652,45.4927,1.0416,,,,
gun_3_x1,,76,gun_3_x1,,,,0.1519,brandenburg_gun_76_x1,0.7,1,1.17,,0.8687,35.0014,1.0326,jap_tb_gun_76_x1,0.575,1.35,1.44,,1.4825,48.4649,1.1853,jap_tb_gun_76_x1,0.6,1.37,1.46,,1.501,50.1612,1.2001,hood_gun_140_x1,1,0.925,0.975,,0.8173,59.155,1.5092,iowa_gun_127_x1,1.1,1,1.185,,0.9641,55.9171,1.3956,,,,
gun_3_x2,,76,gun_3_x2,,,,0.1519,dreadnought_gun_178_x2,3,0.75,0.853125,,0.5773,47.9848,1.3076,dreadnought_gun_178_x2,3.05,0.775,0.8775,,0.5845,49.6643,1.324,dreadnought_gun_178_x2,3.1,0.8,0.901875,,0.5918,51.4025,1.3405,hood_gun_140_x2,1,0.925,0.975,,0.8173,59.155,1.5092,iowa_gun_127_x2,1.1,1,1.185,,0.9641,55.9172,1.3956,,,,
gun_3_x3,,76,gun_3_x3,,,,0.1519,dreadnought_gun_178_x3,3,0.75,0.853125,,0.5773,47.9848,1.3076,dreadnought_gun_178_x3,3.05,0.775,0.8775,,0.5845,49.6643,1.324,dreadnought_gun_178_x3,3.1,0.8,0.901875,,0.5918,51.4025,1.3405,hood_gun_140_x3,1,0.925,0.975,,0.8173,59.155,1.5092,iowa_gun_127_x3,1.1,1,1.185,,0.9641,55.9172,1.3956,,,,
gun_3_x4,,76,gun_3_x4,,,,0.1519,dreadnought_gun_178_x4,4,0.75,0.853125,,0.5773,47.9848,1.3076,dreadnought_gun_178_x4,4.05,0.775,0.8775,,0.5845,49.6643,1.324,dreadnought_gun_178_x4,4.1,0.8,0.901875,,0.5918,51.4025,1.3405,richelieu_gun_120_x4,1.14,1.15,1.21875,,0.9533,42.2355,0.9886,richelieu_gun_120_x4,1.16,1.164375,1.233984375,,0.9652,43.7137,1.0009,,,,
gun_4_x1,,102,gun_4_x1,,,,0.1669,brandenburg_gun_76_x1,0.7,1.2,1.33,,0.8687,33.9865,1.0027,brandenburg_gun_76_x1,0.725,1.225,1.355,,0.8796,35.1761,1.0152,dd_s_gun_c_102_x1,1.1,1.1,1.291875,,0.7463,44.183,1.1523,iowa_gun_b_127_x1,2.48,1.05,1.12125,,0.9016,51.677,1.391,iowa_gun_b_127_x1,2.5,1.063125,1.135265625,,0.9128,53.4857,1.4083,,,,
gun_4_x2,,102,gun_4_x2,,,,0.1669,dreadnought_gun_178_x2,2.42,0.875,0.8775,,0.5773,46.5935,1.2697,dreadnought_gun_178_x2,2.44,0.9,0.999375,,0.5845,48.2242,1.2856,dreadnought_gun_178_x2,2.46,0.925,1.02375,,0.5918,49.9121,1.3017,iowa_gun_b_127_x2,2.48,1.05,1.12125,,0.9016,51.6782,1.391,iowa_gun_b_127_x2,2.5,1.063125,1.135265625,,0.9128,53.4869,1.4084,,,,
gun_4_x3,,102,gun_4_x3,,,,0.1669,dreadnought_gun_178_x3,2.42,0.875,0.8775,,0.5773,46.5935,1.2697,dreadnought_gun_178_x3,2.44,0.9,0.999375,,0.5845,48.2242,1.2856,dreadnought_gun_178_x3,2.46,0.925,1.02375,,0.5918,49.9121,1.3017,iowa_gun_b_127_x3,2.48,1.05,1.12125,,0.9016,51.6782,1.391,iowa_gun_b_127_x3,2.5,1.063125,1.135265625,,0.9128,53.4869,1.4084,,,,
gun_4_x4,,102,gun_4_x4,,,,0.1669,dreadnought_gun_178_x4,2.42,0.875,0.8775,,0.5773,46.5935,1.2697,dreadnought_gun_178_x4,2.44,0.9,0.999375,,0.5845,48.2242,1.2856,dreadnought_gun_178_x4,2.46,0.925,1.02375,,0.5918,49.9121,1.3017,iowa_gun_b_127_x4,2.52,1.05,1.12125,,0.9016,51.6779,1.391,iowa_gun_b_127_x4,2.54,1.063125,1.135265625,,0.9128,53.4866,1.4084,,,,
gun_5_x1,,127,gun_5_x1,,,,0.1636,friedrich_gun_152_x1,1.25,1,1.095,,0.8674,42.2196,1.2455,dd_s_gun_d_102_x1,1.1,1.3,1.51125,,0.7371,41.7633,1.0214,dd_s_gun_c_102_x1,1.1,1.325,1.535625,,0.7463,43.225,1.1273,iowa_gun_b_127_x1,1.18,1.15,1.31625,,0.9016,50.5565,1.3608,iowa_gun_b_127_x1,1.2,1.164375,1.332703125,,0.9128,52.326,1.3778,,,,
gun_5_x2,,127,gun_5_x2,,,,0.1636,tsesarevich_gun_152_x2,1.25,0.9,0.975,,0.7259,47.2468,1.3938,dreadnought_gun_178_x2,1.2,1.025,1.096875,,0.5845,47.1786,1.2577,dreadnought_gun_178_x2,1.22,1.05,1.12125,,0.5918,48.8298,1.2734,iowa_gun_b_127_x2,1.18,1.15,1.31625,,0.9016,50.5577,1.3608,iowa_gun_b_127_x2,1.2,1.164375,1.332703125,,0.9128,52.3272,1.3778,,,,
gun_5_x3,,127,gun_5_x3,,,,0.1636,tsesarevich_gun_152_x3,1.25,0.9,0.975,,0.7259,47.2468,1.3938,dreadnought_gun_178_x3,1.2,1.025,1.096875,,0.5845,47.1786,1.2577,dreadnought_gun_178_x3,1.22,1.05,1.12125,,0.5918,48.8298,1.2734,iowa_gun_b_127_x3,1.18,1.15,1.31625,,0.9016,50.5577,1.3608,iowa_gun_b_127_x3,1.2,1.164375,1.332703125,,0.9128,52.3272,1.3778,,,,
gun_5_x4,,127,gun_5_x4,,,,0.1636,dreadnought_gun_178_x4,1.18,0.999375,1.069453125,,0.5773,45.5832,1.2422,dreadnought_gun_178_x4,1.2,1.025,1.096875,,0.5845,47.1786,1.2577,dreadnought_gun_178_x4,1.22,1.05,1.12125,,0.5918,48.8298,1.2734,iowa_gun_b_127_x4,1.24,1.15,1.31625,,0.9016,50.5574,1.3608,iowa_gun_b_127_x4,1.26,1.164375,1.332703125,,0.9128,52.3269,1.3778,,,,
gun_6_x1,,152,gun_6_x1,,,,0.1859,friedrich_gun_152_x1,1.25,1.1,1.175,,0.8674,41.4678,1.2233,dd_s_gun_c_102_x1,1.1,1.55,1.715,,0.7371,41.0196,1.0935,dd_s_gun_b_102_x1,1.1,1.575,1.725,,0.7463,42.4552,1.1072,iowa_gun_b_127_x1,1.18,1.35,1.51125,,0.9016,49.6562,1.3366,iowa_gun_b_127_x1,1.2,1.366875,1.530140625,,0.9128,51.3941,1.3533,,,,
gun_6_x2,,152,gun_6_x2,,,,0.1859,tsesarevich_gun_152_x2,1.25,1,1.0725,,0.7259,46.4054,1.369,dreadnought_gun_178_x2,1.18,1.125,1.225,,0.5845,46.3384,1.2353,dreadnought_gun_178_x2,1.2,1.15,1.25,,0.5918,47.9602,1.2508,iowa_gun_b_127_x2,1.18,1.35,1.51125,,0.9016,49.6573,1.3366,iowa_gun_b_127_x2,1.2,1.366875,1.530140625,,0.9128,51.3953,1.3533,,,,
gun_6_x3,,152,gun_6_x3,,,,0.1859,tsesarevich_gun_152_x3,1.25,1,1.0725,,0.7259,46.4054,1.369,dreadnought_gun_178_x3,1.18,1.125,1.225,,0.5845,46.3384,1.2353,dreadnought_gun_178_x3,1.2,1.15,1.25,,0.5918,47.9602,1.2508,iowa_gun_b_127_x3,1.18,1.35,1.51125,,0.9016,49.6573,1.3366,iowa_gun_b_127_x3,1.2,1.366875,1.530140625,,0.9128,51.3953,1.3533,,,,
gun_6_x4,,152,gun_6_x4,,,,0.1859,dreadnought_gun_178_x4,1.18,1.096875,1.194375,,0.5773,44.7714,1.2201,dreadnought_gun_178_x4,1.18,1.125,1.225,,0.5845,46.3384,1.2353,dreadnought_gun_178_x4,1.2,1.15,1.25,,0.5918,47.9602,1.2508,iowa_gun_b_127_x4,1.24,1.35,1.51125,,0.9016,49.657,1.3366,iowa_gun_b_127_x4,1.26,1.366875,1.530140625,,0.9128,51.395,1.3533,,,,
gun_7_x1,,178,gun_7_x1,,,,0.2118,tsesarevich_gun_152_x1,1.25,1.1,1.17,,0.7259,45.6784,1.3476,agamemnon_gun_b_228_x1,1.15,1,1.085,,0.5319,42.6955,1.1382,warrior_gun_228_x1,1.15,0.975,0.999375,,0.4833,48.6961,1.27,iowa_gun_b_127_x1,1.18,1.55,1.70625,,0.9016,48.8782,1.3156,pola_gun_203_x1,1.25,1,1.048125,,0.4565,53.053,1.3605,,,,
gun_7_x2,,178,gun_7_x2,,,,0.2118,tsesarevich_gun_152_x2,1.25,1.1,1.17,,0.7259,45.6784,1.3476,agamemnon_gun_b_228_x2,1.15,1,1.085,,0.5319,42.6955,1.1382,warrior_gun_228_x2,1.15,0.975,0.999375,,0.4833,48.6961,1.27,iowa_gun_b_127_x2,1.18,1.55,1.70625,,0.9016,48.8794,1.3157,pola_gun_203_x2,1.25,1,1.048125,,0.4565,53.053,1.3605,,,,
gun_7_x3,,178,gun_7_x3,,,,0.2118,tsesarevich_gun_152_x3,1.25,1.1,1.17,,0.7259,45.6784,1.3476,agamemnon_gun_b_228_x3,1.15,1,1.085,,0.5319,42.6955,1.1382,warrior_gun_228_x3,1.15,0.975,0.999375,,0.4833,48.6961,1.27,iowa_gun_b_127_x3,1.18,1.55,1.70625,,0.9016,48.8794,1.3157,pola_gun_203_x3,1.25,1,1.048125,,0.4565,53.053,1.3605,,,,
gun_7_x4,,178,gun_7_x4,,,,0.2118,agamemnon_gun_b_228_x4,1.13,0.975,1.057875,,0.5254,41.2517,1.1242,agamemnon_gun_b_228_x4,1.15,1,1.085,,0.5319,42.6955,1.1382,warrior_gun_228_x4,1.15,0.975,0.999375,,0.4833,48.6961,1.27,iowa_gun_b_127_x4,1.24,1.55,1.70625,,0.9016,48.8791,1.3157,iowa_gun_b_127_x4,1.26,1.569375,1.727578125,,0.9128,50.5898,1.3321,,,,
gun_8_x1,,203,gun_8_x1,,,,0.235,tsesarevich_gun_152_x1,1.25,1.2,1.275,,0.7259,45.082,1.33,agamemnon_gun_228_x1,1.15,1.05,1.085,,0.4892,44.102,1.1757,warrior_gun_228_x1,1.15,1.025,1.095,,0.4833,48.0603,1.2534,iowa_gun_b_127_x1,1.18,1.75,1.95,,0.9016,48.2401,1.2985,pola_gun_203_x1,1.25,1.075,1.175,,0.4565,52.3603,1.3427,,,,
gun_8_x2,,203,gun_8_x2,,,,0.235,tsesarevich_gun_152_x2,1.25,1.2,1.275,,0.7259,45.082,1.33,agamemnon_gun_228_x2,1.15,1.05,1.085,,0.5319,45.6118,1.216,warrior_gun_228_x2,1.15,1.025,1.095,,0.4833,48.0603,1.2534,iowa_gun_b_127_x2,1.18,1.75,1.95,,0.9016,48.2412,1.2985,pola_gun_203_x2,1.25,1.075,1.175,,0.4565,52.3603,1.3427,,,,
gun_8_x3,,203,gun_8_x3,,,,0.235,tsesarevich_gun_152_x3,1.25,1.2,1.275,,0.7259,45.082,1.33,agamemnon_gun_228_x3,1.15,1.05,1.085,,0.5319,45.6118,1.216,warrior_gun_228_x3,1.15,1.025,1.095,,0.4833,48.0603,1.2534,iowa_gun_b_127_x3,1.18,1.75,1.95,,0.9016,48.2412,1.2985,pola_gun_203_x3,1.25,1.075,1.175,,0.4565,52.3603,1.3427,,,,
gun_8_x4,,203,gun_8_x4,,,,0.235,agamemnon_gun_228_x4,1.13,1.02375,1.057875,,0.5254,44.0693,1.2009,agamemnon_gun_228_x4,1.15,1.05,1.085,,0.5319,45.6118,1.216,warrior_gun_228_x4,1.15,1.025,1.095,,0.4833,48.0603,1.2534,iowa_gun_b_127_x4,1.26,1.75,1.95,,0.9016,48.2409,1.2985,iowa_gun_b_127_x4,1.18,1.771875,1.975,,0.9128,49.9293,1.3147,,,,
gun_9_x1,,229,gun_9_x1,,,,0.2574,friedrich_gun_228_x1,1.25,1,1.095,,0.3953,37.3799,1.1028,agamemnon_gun_228_x1,1.05,1.1,1.195,,0.4892,43.5737,1.1616,warrior_gun_228_x1,1,1.1,1.194375,,0.4833,47.4846,1.2384,dreadnought_gun_c_305_x1,1.14,0.9,0.931125,,0.3819,49.1893,1.2895,pola_gun_203_x1,1.25,1.2,1.2675,,0.4565,51.7331,1.3267,,,,
gun_9_x2,,229,gun_9_x2,,,,0.2574,friedrich_gun_228_x2,1.25,1,1.095,,0.3953,37.3799,1.1028,agamemnon_gun_228_x2,1.05,1.1,1.195,,0.5319,45.0654,1.2014,warrior_gun_228_x2,1,1.1,1.194375,,0.4833,47.4846,1.2384,dreadnought_gun_c_305_x2,1.14,0.9,0.931125,,0.3819,49.1893,1.2895,pola_gun_203_x2,1.25,1.2,1.2675,,0.4565,51.7331,1.3267,,,,
gun_9_x3,,229,gun_9_x3,,,,0.2574,friedrich_gun_228_x3,1.25,1,1.095,,0.3953,37.3799,1.1028,agamemnon_gun_228_x3,1.05,1.1,1.195,,0.5319,45.0654,1.2014,warrior_gun_228_x3,1,1.1,1.194375,,0.4833,47.4846,1.2384,dreadnought_gun_c_305_x3,1.14,0.9,0.931125,,0.3819,49.1893,1.2895,pola_gun_203_x3,1.25,1.2,1.2675,,0.4565,51.7331,1.3267,,,,
gun_9_x4,,229,gun_9_x4,,,,0.2574,agamemnon_gun_228_x4,1.03,1.0725,1.165125,,0.5254,43.5414,1.1866,agamemnon_gun_228_x4,1.05,1.1,1.195,,0.5319,45.0654,1.2014,warrior_gun_228_x4,1,1.1,1.194375,,0.4833,47.4846,1.2384,dreadnought_gun_c_305_x4,1.14,0.9,0.931125,,0.3819,49.1893,1.2895,kgeorge_gun_380_x4_c,1.18,0.8424,0.87267375,,0.3251,55.5543,1.3865,,,,
gun_10_x1,,254,gun_10_x1,,,,0.2773,brandenburg_gun_279_x1,1.75,0.909,0.99,,0.361,34.8969,1.0295,agamemnon_gun_305_x1,1.2,0.9,0.975,,0.3661,41.5488,1.1076,warrior_gun_228_x1,1,1.225,1.33,,0.4833,46.9951,1.2256,dreadnought_gun_b_305_x1,1.14,0.955,1.02375,,0.3754,44.5081,1.2293,pola_gun_203_x1,1.25,1.3,1.41375,,0.4565,51.1998,1.313,,,,
gun_10_x2,,254,gun_10_x2,,,,0.2773,brandenburg_gun_279_x2,1.75,0.909,0.99,,0.361,34.8969,1.0295,agamemnon_gun_305_x2,1.2,0.9,0.975,,0.3661,41.5488,1.1076,warrior_gun_228_x2,1,1.225,1.33,,0.4833,46.9951,1.2256,dreadnought_gun_b_305_x2,1.14,0.955,1.02375,,0.3754,44.5081,1.2293,pola_gun_203_x2,1.25,1.3,1.41375,,0.4565,51.1998,1.313,,,,
gun_10_x3,,254,gun_10_x3,,,,0.2773,brandenburg_gun_279_x3,1.75,0.909,0.99,,0.361,34.8969,1.0295,agamemnon_gun_305_x3,1.2,0.9,0.975,,0.3661,41.5488,1.1076,warrior_gun_228_x3,1,1.225,1.33,,0.4833,46.9951,1.2256,dreadnought_gun_b_305_x3,1.14,0.955,1.02375,,0.3754,44.5081,1.2293,pola_gun_203_x3,1.25,1.3,1.41375,,0.4565,51.1998,1.313,,,,
gun_10_x4,,254,gun_10_x4,,,,0.2773,agamemnon_gun_305_x4,1.18,0.8775,0.950625,,0.3616,40.1437,1.094,agamemnon_gun_305_x4,1.2,0.9,0.975,,0.3661,41.5488,1.1076,warrior_gun_228_x4,1,1.225,1.33,,0.4833,46.9951,1.2256,dreadnought_gun_b_305_x4,1.14,0.955,1.02375,,0.3754,44.5081,1.2293,kgeorge_gun_380_x4_c,1.18,0.89505,0.9240075,,0.3251,54.9817,1.3722,,,,
gun_11_x1,,279,gun_11_x1,,,,0.2431,brandenburg_gun_279_x1,1.75,1,1.095,,0.361,34.5708,1.0199,agamemnon_gun_305_x1,1.2,1,1.0725,,0.3661,41.1605,1.0973,dreadnought_gun_305_x1,1.14,1.025,1.096875,,0.3707,42.6011,1.111,dreadnought_gun_b_305_x1,1.14,1.05,1.12125,,0.3754,44.0922,1.2178,pola_gun_203_x1,1.25,1.45,1.56,,0.4565,50.7214,1.3007,,,,
gun_11_x2,,279,gun_11_x2,,,,0.2431,brandenburg_gun_279_x2,1.75,1,1.095,,0.361,34.5708,1.0199,agamemnon_gun_305_x2,1.2,1,1.0725,,0.3661,41.1605,1.0973,dreadnought_gun_305_x2,1.14,1.025,1.096875,,0.3707,42.6011,1.111,dreadnought_gun_b_305_x2,1.14,1.05,1.12125,,0.3754,44.0922,1.2178,pola_gun_203_x2,1.25,1.45,1.56,,0.4565,50.7214,1.3007,,,,
gun_11_x3,,279,gun_11_x3,,,,0.2431,brandenburg_gun_279_x3,1.75,1,1.095,,0.361,34.5708,1.0199,agamemnon_gun_305_x3,1.2,1,1.0725,,0.3661,41.1605,1.0973,dreadnought_gun_305_x3,1.14,1.025,1.096875,,0.3707,42.6011,1.111,dreadnought_gun_b_305_x3,1.14,1.05,1.12125,,0.3754,44.0922,1.2178,pola_gun_203_x3,1.25,1.45,1.56,,0.4565,50.7214,1.3007,,,,
gun_11_x4,,279,gun_11_x4,,,,0.2431,agamemnon_gun_305_x4,1.18,0.975,1.0456875,,0.3616,39.7686,1.0837,agamemnon_gun_305_x4,1.2,1,1.0725,,0.3661,41.1605,1.0973,dreadnought_gun_305_x4,1.14,1.025,1.096875,,0.3707,42.6011,1.111,dreadnought_gun_b_305_x4,1.14,1.05,1.12125,,0.3754,44.0922,1.2178,kgeorge_gun_380_x4_c,1.18,0.9477,0.97534125,,0.3251,54.4679,1.3594,,,,
gun_12_x1,,305,gun_12_x1,,,,0.2645,tsesarevich_gun_305_x1,1.5,1,1.095,,0.3935,42.6077,1.257,irresistible_gun_305_x1,1.1,1.1,1.17,,0.3661,40.3082,1.0746,dreadnought_gun_305_x1,1.14,1.125,1.194375,,0.3707,42.2233,1.1012,dreadnought_gun_b_305_x1,1.14,1.15,1.21875,,0.3754,43.7011,1.207,pola_gun_203_x1,1.25,1.6,1.74,,0.4565,50.2715,1.2892,,,,
gun_12_x2,,305,gun_12_x2,,,,0.2645,tsesarevich_gun_305_x2,1.5,1,1.095,,0.3935,42.6077,1.257,irresistible_gun_305_x2,1.1,1.1,1.17,,0.3661,40.3082,1.0746,dreadnought_gun_305_x2,1.14,1.125,1.194375,,0.3707,42.2233,1.1012,dreadnought_gun_b_305_x2,1.14,1.15,1.21875,,0.3754,43.7011,1.207,pola_gun_203_x2,1.25,1.6,1.74,,0.4565,50.2715,1.2892,,,,
gun_12_x3,,305,gun_12_x3,,,,0.2645,tsesarevich_gun_305_x3,1.5,1,1.095,,0.3935,42.6077,1.257,irresistible_gun_305_x3,1.1,1.1,1.17,,0.3661,40.3082,1.0746,dreadnought_gun_305_x3,1.14,1.125,1.194375,,0.3707,42.2233,1.1012,dreadnought_gun_b_305_x3,1.14,1.15,1.21875,,0.3754,43.7011,1.207,pola_gun_203_x3,1.25,1.6,1.74,,0.4565,50.2715,1.2892,,,,
gun_12_x4,,305,gun_12_x4,,,,0.2645,irresistible_gun_305_x4,1.08,1.0725,1.14075,,0.3616,38.9451,1.0613,irresistible_gun_305_x4,1.1,1.1,1.17,,0.3661,40.3082,1.0746,dreadnought_gun_305_x4,1.14,1.125,1.194375,,0.3707,42.2233,1.1012,dreadnought_gun_b_305_x4,1.14,1.15,1.21875,,0.3754,43.7011,1.207,kgeorge_gun_380_x4_c,1.18,1.00035,1.026675,,0.3251,53.9848,1.3473,,,,
gun_13_x1,,330,gun_13_x1,,,,0.2848,friedrich_gun_305_x1,1.5,1.1,1.195,,0.361,37.4915,1.106,irresistible_gun_305_x1,1.1,1.2,1.2675,,0.3661,39.9919,1.0661,dreadnought_gun_305_x1,1.14,1.225,1.291875,,0.3707,41.8919,1.0925,dreadnought_gun_b_305_x1,1.14,1.25,1.33,,0.3754,43.3581,1.1975,iowa_gun_406_x1,1.33,0.7563375,0.791724375,,0.2277,51.8469,1.3652,,,,
gun_13_x2,,330,gun_13_x2,,,,0.2848,friedrich_gun_305_x2,1.5,1.1,1.195,,0.361,37.4915,1.106,irresistible_gun_305_x2,1.1,1.2,1.2675,,0.3661,39.9919,1.0661,dreadnought_gun_305_x2,1.14,1.225,1.291875,,0.3707,41.8919,1.0925,dreadnought_gun_b_305_x2,1.14,1.25,1.33,,0.3754,43.3581,1.1975,iowa_gun_406_x2,1.33,0.7563375,0.791724375,,0.2277,51.8469,1.3652,,,,
gun_13_x3,,330,gun_13_x3,,,,0.2848,friedrich_gun_305_x3,1.5,1.1,1.195,,0.361,37.4915,1.106,irresistible_gun_305_x3,1.1,1.2,1.2675,,0.3661,39.9919,1.0661,dreadnought_gun_305_x3,1.14,1.225,1.291875,,0.3707,41.8919,1.0925,dreadnought_gun_b_305_x3,1.14,1.25,1.33,,0.3754,43.3581,1.1975,iowa_gun_406_x3,1.33,0.7563375,0.791724375,,0.2277,51.8469,1.3652,,,,
gun_13_x4,,330,gun_13_x4,,,,0.2848,irresistible_gun_305_x4,1.08,1.17,1.2358125,,0.3616,38.6395,1.053,irresistible_gun_305_x4,1.1,1.2,1.2675,,0.3661,39.9919,1.0661,dreadnought_gun_305_x4,1.14,1.225,1.291875,,0.3707,41.8919,1.0925,dreadnought_gun_b_305_x4,1.14,1.25,1.33,,0.3754,43.3581,1.1975,kgeorge_gun_380_x4_c,1.18,1.053,1.07800875,,0.3251,53.5612,1.3368,,,,
