#id,enabled / disabled,type of part,short name for ui (keep it short),weight as probabilty to be used,name for human,description for ui,paramenets,
@name,enabled,type,nameShort,weight,nameUi,desc,param,#comment
default,1,,,1,,,,
##,,,,,,,,
main_engine_1,,engine,$component_name_short_main_engine_1,1,$technology_name_engine_engine_1,$technology_desc_engine_engine_1,,
main_engine_1_1,,engine,$component_name_short_main_engine_1_1,1,$technology_name_engine_engine_1_1,$technology_desc_engine_engine_1_1,,
main_engine_2,,engine,$component_name_short_main_engine_2,2,$technology_name_engine_engine_2,$technology_desc_engine_engine_2,,
main_engine_3,,engine,$component_name_short_main_engine_3,3,$technology_name_engine_engine_3,$technology_desc_engine_engine_3,,
main_engine_3_adv,,engine,$component_name_short_main_engine_3_adv,11,$technology_name_engine_engine_4,$technology_desc_engine_engine_4,,
main_engine_4,,engine,$component_name_short_main_engine_4,21,$technology_name_engine_engine_5,$technology_desc_engine_engine_5,,
main_engine_5,,engine,$component_name_short_main_engine_5,31,$technology_name_engine_engine_6,$technology_desc_engine_engine_6,,
main_engine_turbo,,engine,$component_name_short_main_engine_turbo,140,$technology_name_engine_engine_7,$technology_desc_engine_engine_7,,
main_engine_6,,engine,$component_name_short_main_engine_6,160,$technology_name_engine_engine_8,$technology_desc_engine_engine_8,,
main_engine_7,,engine,$component_name_short_main_engine_7,120,$technology_name_engine_engine_9,$technology_desc_engine_engine_9,,
main_engine_6_2,,engine,$component_name_short_main_engine_6_2,320,$technology_name_engine_engine_8_2,$technology_desc_engine_engine_8_2,,
main_engine_8,,engine,$component_name_short_main_engine_8,1300,$technology_name_engine_engine_10,$technology_desc_engine_engine_10,,
main_engine_6_1,,engine,$component_name_short_main_engine_6_1,1500,$technology_name_engine_engine_8_1,$technology_desc_engine_engine_8_1,,
main_engine_9,,engine,$component_name_short_main_engine_9,2000,$technology_name_engine_engine_11,$technology_desc_engine_engine_11,,
main_engine_8_1,,engine,$component_name_short_main_engine_8_1,2000,$technology_name_engine_engine_10_1,$technology_desc_engine_engine_10_1,,
main_engine_10,,engine,$component_name_short_main_engine_10,5000,$technology_name_engine_engine_12,$technology_desc_engine_engine_12,,
##,,,,,,,,
fuel_coal,,fuel,$component_name_short_fuel_coal,1,$technology_name_engine_boiler_1,$technology_desc_engine_boiler_1,,
fuel_coal_2,,fuel,$component_name_short_fuel_coal_2,3,$technology_name_engine_boiler_1_1,$technology_desc_engine_boiler_1_1,,
fuel_oil_1,,fuel,$component_name_short_fuel_oil_1,5,$technology_name_engine_boiler_2,$technology_desc_engine_boiler_2,,
fuel_oil_1_1,,fuel,$component_name_short_fuel_oil_1_1,12,$technology_name_engine_boiler_2_1,$technology_desc_engine_boiler_2_1,,
fuel_oil_2,,fuel,$component_name_short_fuel_oil_2,35,$technology_name_engine_boiler_3,$technology_desc_engine_boiler_3,,
fuel_oil_3,,fuel,$component_name_short_fuel_oil_3,60,$technology_name_engine_boiler_4,$technology_desc_engine_boiler_4,,
fuel_oil_4,,fuel,$component_name_short_fuel_oil_4,60,$technology_name_engine_boiler_5,$technology_desc_engine_boiler_5,,
##,,,,,,,,
boiler_1,,boilers,$component_name_short_boiler_1,5,$technology_name_engine_boiler_6,$technology_desc_engine_boiler_6,,
boiler_2,,boilers,$component_name_short_boiler_2,1,$technology_name_engine_boiler_7,$technology_desc_engine_boiler_7,,
boiler_3,,boilers,$component_name_short_boiler_3,5,$technology_name_engine_boiler_8,$technology_desc_engine_boiler_8,,
boiler_4_1,,boilers,$component_name_short_boiler_4_1,5,$technology_name_engine_boiler_9_1,$technology_desc_engine_boiler_9_1,,
boiler_4,,boilers,$component_name_short_boiler_4,5,$technology_name_engine_boiler_9,$technology_desc_engine_boiler_9,,
boiler_4_2,,boilers,$component_name_short_boiler_4_2,12,$technology_name_engine_boiler_9_2,$technology_desc_engine_boiler_9_2,,
boiler_4_3,,boilers,$component_name_short_boiler_4_3,12,$technology_name_engine_boiler_9_3,$technology_desc_engine_boiler_9_3,,
##,,,,,,,,
aux_engine_1,,aux_eng,$component_name_short_aux_engine_1,1,$technology_name_engine_special_10,$technology_desc_engine_special_10,,
aux_engine_2,,aux_eng,$component_name_short_aux_engine_2,2,$technology_name_engine_special_11,$technology_desc_engine_special_11,,
aux_engine_3,,aux_eng,$component_name_short_aux_engine_3,3,$technology_name_engine_special_12,$technology_desc_engine_special_12,,
aux_engine_4,,aux_eng,$component_name_short_aux_engine_4,4,$technology_name_engine_special_13,$technology_desc_engine_special_13,,
aux_engine_5,,aux_eng,$component_name_short_aux_engine_5,4,$technology_name_engine_special_14,$technology_desc_engine_special_14,,
##,,,,,,,,
drive_shaft_1,,shaft,$component_name_short_drive_shaft_1,1,$technology_name_engine_special_15,$technology_desc_engine_special_15,,
drive_shaft_2,,shaft,$component_name_short_drive_shaft_2,2,$technology_name_engine_special_16,$technology_desc_engine_special_15,,
drive_shaft_3,,shaft,$component_name_short_drive_shaft_3,3,$technology_name_engine_special_17,$technology_desc_engine_special_15,,
drive_shaft_4,,shaft,$component_name_short_drive_shaft_4,3,$technology_name_engine_special_18,$technology_desc_engine_special_15,,
drive_shaft_5,,shaft,$component_name_short_drive_shaft_5,3,$technology_name_engine_special_19,$technology_desc_engine_special_17,,
##,,,,,,,,
rudder_0,,rudder,$component_name_short_boiler_4,1,$component_name_short_boiler_4,$technology_desc_engine_special_20,,
rudder_1,,rudder,$component_name_short_rudder_1,3,$component_name_short_rudder_1,$technology_desc_engine_special_21,,
rudder_2,,rudder,$component_name_short_rudder_2,1,$component_name_short_rudder_2,$technology_desc_engine_special_22,,
##,,,,,,,,
steering_gear_0,,steering,$component_name_short_steering_gear_0,1,$technology_name_engine_special_1,$technology_desc_engine_special_1,,
steering_gear_1,,steering,$component_name_short_steering_gear_1,2,$technology_name_engine_special_2,$technology_desc_engine_special_2,,
steering_gear_2,,steering,$component_name_short_steering_gear_2,3,$technology_name_engine_special_3,$technology_desc_engine_special_3,,
steering_gear_3,,steering,$component_name_short_steering_gear_3,4,$technology_name_engine_special_4,$technology_desc_engine_special_4,,
steering_gear_4,,steering,$component_name_short_steering_gear_4,5,$technology_name_engine_special_5,$technology_desc_engine_special_5,,
steering_gear_5,,steering,$component_name_short_steering_gear_5,6,$technology_name_engine_special_6,$technology_desc_engine_special_6,,
##,,,,,,,,
armor_0,,armor,$component_name_short_armor_0,1,$technology_name_armor_quality_1,$technology_desc_armor_quality_1,,
armor_1,,armor,$component_name_short_armor_1,1,$technology_name_armor_quality_2,$technology_desc_armor_quality_2,,
armor_2,,armor,$component_name_short_armor_2,2,$technology_name_armor_quality_3,$technology_desc_armor_quality_3,,
armor_3,,armor,$component_name_short_armor_3,3,$technology_name_armor_quality_4,$technology_desc_armor_quality_4,,
armor_4,,armor,$component_name_short_armor_4,10,$technology_name_armor_quality_5,$technology_desc_armor_quality_5,,
armor_5,,armor,$component_name_short_armor_5,11,$technology_name_armor_quality_6,$technology_desc_armor_quality_6,,
armor_6,,armor,$component_name_short_armor_6,20,$technology_name_armor_quality_7,$technology_desc_armor_quality_7,,
armor_7,,armor,$component_name_short_armor_7,30,$technology_name_armor_quality_8,$technology_desc_armor_quality_8,,
armor_8,,armor,$component_name_short_armor_8,110,$technology_name_armor_quality_9,$technology_desc_armor_quality_9,,
armor_9,,armor,$component_name_short_armor_9,125,$technology_name_armor_quality_10,$technology_desc_armor_quality_10,,
armor_10,,armor,$component_name_short_armor_10,220,$technology_name_armor_quality_11,$technology_desc_armor_quality_11,,
armor_11,,armor,$component_name_short_armor_11,320,$technology_name_armor_quality_12,$technology_desc_armor_quality_12,,
armor_12,,armor,$component_name_short_armor_12,1200,$technology_name_armor_quality_13,$technology_desc_armor_quality_13,,
armor_13,,armor,$component_name_short_armor_13,1300,$technology_name_armor_quality_14,$technology_desc_armor_quality_14,,
armor_14,,armor,$component_name_short_armor_14,2300,$technology_name_armor_quality_15,$technology_desc_armor_quality_15,,
armor_15,,armor,$component_name_short_armor_15,3300,$technology_name_armor_quality_16,$technology_desc_armor_quality_16,,
armor_16,,armor,$component_name_short_armor_16,12500,$technology_name_armor_quality_17,$technology_desc_armor_quality_17,,
armor_17,,armor,$component_name_short_armor_17,14000,$technology_name_armor_quality_18,$technology_desc_armor_quality_18,,
armor_18,,armor,$component_name_short_armor_18,24000,$technology_name_armor_quality_19,$technology_desc_armor_quality_19,,
armor_19,,armor,$component_name_short_armor_19,34000,$technology_name_armor_quality_20,$technology_desc_armor_quality_20,,
armor_20,,armor,$component_name_short_armor_20,130000,$technology_name_armor_quality_21,$technology_desc_armor_quality_21,,
##,,,,,,,,
barbette_thickness_1,,barbette,$component_name_short_barbette_thickness_1,1,$technology_name_gun_layout_19,$technology_desc_gun_layout_19,,
barbette_thickness_2,,barbette,$component_name_short_barbette_thickness_2,2,$technology_name_gun_layout_20,$technology_desc_gun_layout_20,,
barbette_thickness_5_1,,barbette,$component_name_short_barbette_thickness_5_1,9,$technology_name_gun_layout_23_1,$technology_desc_gun_layout_23_1,,
barbette_thickness_3,,barbette,$component_name_short_barbette_thickness_3,4,$technology_name_gun_layout_21,$technology_desc_gun_layout_21,,
barbette_thickness_5_2,,barbette,$component_name_short_barbette_thickness_5_2,9,$technology_name_gun_layout_23_2,$technology_desc_gun_layout_23_2,,
barbette_thickness_4,,barbette,$component_name_short_barbette_thickness_4,8,$technology_name_gun_layout_22,$technology_desc_gun_layout_22,,
barbette_thickness_5,,barbette,$component_name_short_barbette_thickness_5,9,$technology_name_gun_layout_23,$technology_desc_gun_layout_23,,
##,,,,,,,,
rangefinder_coinc_1,,rangefinder,$component_name_short_rangefinder_coinc_1,1,$technology_name_aim_rangefinder_1,$technology_desc_aim_rangefinder_2,,
rangefinder_stereo_1,,rangefinder,$component_name_short_rangefinder_stereo_1,1,$technology_name_aim_rangefinder_9,$technology_desc_aim_rangefinder_9,,
rangefinder_coinc_2,,rangefinder,$component_name_short_rangefinder_coinc_2,2,$technology_name_aim_rangefinder_2,$technology_desc_aim_rangefinder_2,,
rangefinder_stereo_2,,rangefinder,$component_name_short_rangefinder_stereo_2,2,$technology_name_aim_rangefinder_10,$technology_desc_aim_rangefinder_9,,
rangefinder_coinc_3,,rangefinder,$component_name_short_rangefinder_coinc_3,11,$technology_name_aim_rangefinder_3,$technology_desc_aim_rangefinder_2,,
rangefinder_stereo_3,,rangefinder,$component_name_short_rangefinder_stereo_3,11,$technology_name_aim_rangefinder_11,$technology_desc_aim_rangefinder_9,,
rangefinder_coinc_4,,rangefinder,$component_name_short_rangefinder_coinc_4,22,$technology_name_aim_rangefinder_4,$technology_desc_aim_rangefinder_2,,
rangefinder_stereo_4,,rangefinder,$component_name_short_rangefinder_stereo_4,22,$technology_name_aim_rangefinder_12,$technology_desc_aim_rangefinder_9,,
rangefinder_coinc_5,,rangefinder,$component_name_short_rangefinder_coinc_5,111,$technology_name_aim_rangefinder_5,$technology_desc_aim_rangefinder_2,,
rangefinder_stereo_5,,rangefinder,$component_name_short_rangefinder_stereo_5,111,$technology_name_aim_rangefinder_13,$technology_desc_aim_rangefinder_9,,
rangefinder_coinc_6,,rangefinder,$component_name_short_rangefinder_coinc_6,222,$technology_name_aim_rangefinder_6,$technology_desc_aim_rangefinder_2,,
rangefinder_stereo_6,,rangefinder,$component_name_short_rangefinder_stereo_6,222,$technology_name_aim_rangefinder_14,$technology_desc_aim_rangefinder_9,,
rangefinder_coinc_7,,rangefinder,$component_name_short_rangefinder_coinc_7,1111,$technology_name_aim_rangefinder_7,$technology_desc_aim_rangefinder_2,,
rangefinder_coinc_8,,rangefinder,$component_name_short_rangefinder_coinc_8,1111,$technology_name_aim_rangefinder_8,$technology_desc_aim_rangefinder_2,,
rangefinder_stereo_7,,rangefinder,$component_name_short_rangefinder_stereo_7,2222,$technology_name_aim_rangefinder_15,$technology_desc_aim_rangefinder_9,,
rangefinder_stereo_8,,rangefinder,$component_name_short_rangefinder_stereo_8,2222,$technology_name_aim_rangefinder_16,$technology_desc_aim_rangefinder_9,,
##,,,,,,,,
torpedo_belt_1,,torpedo_belt,$component_name_short_torpedo_belt_1,1,$technology_name_surv_hull_4,$technology_desc_surv_hull_4,,
torpedo_belt_2,,torpedo_belt,$component_name_short_torpedo_belt_2,2,$technology_name_surv_hull_5,$technology_desc_surv_hull_5,,
torpedo_belt_3,,torpedo_belt,$component_name_short_torpedo_belt_3,3,$technology_name_surv_hull_6,$technology_desc_surv_hull_6,,
torpedo_belt_4,,torpedo_belt,$component_name_short_torpedo_belt_4,4,$technology_name_surv_hull_7,$technology_desc_surv_hull_7,,
torpedo_belt_5,,torpedo_belt,$component_name_short_torpedo_belt_5,5,$technology_name_surv_hull_8,$technology_desc_surv_hull_8,,
##,,,,,,,,
