#player name,default civil flag filename,default naval jack filename, per-government flags for civil,for naval
# the government types used by the game are: Monarchy, Fascists, Communists, Democracy,
# so for example:,,,,
# britain,britain.png,britain.png,"Communists(britainCommunist.png), Democracy(britainRepublic.png)",
# note that flags can be either PNG (no alpha channel) or JPG, and must be 256x128 pixels,,,
@name,civilFlag,navalFlag,civilGovFlags,navalGovFlags
germany,germanyMonarchy.png,germanyMonarchyNaval.png,"Monarchy(germanyMonarchy.png),Fascists(germanyFascist.png),Communists(germanyCommunist.png),Democracy(germanyGov.png)","Monarchy(germanyMonarchyNaval.png),Fascists(germanyFascistNaval.png),Communists(germanyGovNaval.png),Democracy(germanyGovNaval.png)"
spain,spainMonarchy.png,spainMonarchy.png,"Monarchy(spainMonarchy.png),Fascists(spainFascist.png),Communists(spainCommunist.png),Democracy(spanishGov.png)","Monarchy(spainMonarchy.png),Fascists(spainNavalJack.png),Communists(spanishGov.png),Democracy(spanishGov.png)"
austria,austriaMonarchy.png,austriaMonarchy.png,"Monarchy(austriaMonarchy.png),Fascists(austriaFascist.png),Communists(austriaCommunist.png),Democracy(austriaFantasyDemocracy.png)","Monarchy(austriaMonarchyNaval.png),Fascists(austriaFantasyDemocracyNaval2.png),Communists(austriaFantasyDemocracyNaval2.png),Democracy(austriaFantasyDemocracyNaval2.png)"
portugal,portugalGov.png,portugalGov.png,"Monarchy(portugalMonarchy.png),Fascists(portugalFascist.png),Communists(portugalCommunist.png),Democracy(portugalGov.png)","Monarchy(portugalMonarchyNaval.png),Fascists(portugalGov.png),Communists(portugalGov.png),Democracy(portugalGov.png)"
netherlands,dutch.png,dutchNaval.png,"Monarchy(dutch.png),Fascists(dutchFascist.png),Communists(dutchCommunist.png),Democracy(dutch.png)","Monarchy(dutchNaval.png),Fascists(dutchNaval.png),Communists(dutchNaval.png),Democracy(dutchNaval.png)"
belgium,belgian.png,belgianNaval.png,"Monarchy(belgian.png),Fascists(belgianFascist.png),Communists(belgianCommunist.png),Democracy(belgian.png)","Monarchy(belgianNaval.png),Fascists(belgianNaval.png),Communists(belgianNaval.png),Democracy(belgianNaval.png)"
ottoman,ottoman.png,ottomanNaval.png,"Monarchy(ottoman.png),Democracy(ottoman.png),Communists(ottoman.png),Fascists(ottoman.png)","Monarchy(ottomanNaval.png), Democracy(ottomanNaval.png),Communists(ottomanNaval.png),Fascists(ottomanNaval.png)"
brazil,brazil.png,brazilNaval.png,"Monarchy(brazilMonarchy.png),Fascists(brazilFascist.png),Communists(brazilCommunist.png),Democracy(brazil.png)","Monarchy(brazilNaval.png),Fascists(brazilNaval.png),Communists(brazilNaval.png),Democracy(brazilNaval.png)"
argentina,argentina.png,argentina.png,"Monarchy(argentinaMonarchy.png),Fascists(argentinaFascist.png),Communists(argentinaCommunist.png),Democracy(argentina.png)","Monarchy(argentina.png),Fascists(argentina.png),Communists(argentina.png),Democracy(argentina.png)"
chile,chile.png,chileNaval.png,"Monarchy(chileMonarchy.png),Fascists(chileFascist.png),Communists(chileCommunist.png),Democracy(chile.png)","Monarchy(chileNaval.png), Fascists(chileNaval.png),Communists(chileNaval.png),Democracy(chileNaval.png)"
greece,greeceDemocracy.png,greeceNaval.png,"Monarchy(greece.png),Fascists(greeceFascist.png),Communists(greeceDemocracy.png),Democracy(greeceDemocracy.png)","Monarchy(greeceNaval.png),Fascists(greeceNaval.png),Communists(greeceNaval.png),Democracy(greeceNaval.png)"
korea,korea.png,koreaNaval.png,"Monarchy(koreaMonarchy.png),Fascists(korea.png),Communists(koreaCommunist.png),Democracy(korea.png)","Monarchy(koreaNaval.png),Fascists(koreaNaval.png),Communists(koreaNavalCommunist.png),Democracy(koreaNaval.png)"
norway,norway.png,norwayNaval.png,"Monarchy(norway.png),Fascists(norway.png),Communists(norwayCommunist.png),Democracy(norway.png)","Monarchy(norwayNaval.png),Fascists(norwayNaval.png),Communists(norwayNaval.png),Democracy(norwayNaval.png)"
sweden,sweden.png,swedenNaval.png,"Monarchy(sweden.png),Fascists(sweden.png),Communists(swedenCommunist.png),Democracy(sweden.png)","Monarchy(swedenNaval.png),Fascists(swedenNaval.png),Communists(swedenNaval.png),Democracy(swedenNaval.png)"
denmark,denmark.png,denmarkNaval.png,"Monarchy(denmark.png),Fascists(denmark.png),Communists(denmarkCommunist.png),Democracy(denmark.png)","Monarchy(denmarkNaval.png),Fascists(denmarkNaval.png),Communists(denmarkNaval.png),Democracy(denmarkNaval.png)"
,,,,
