shipType,year,beltMin,beltMax,beltExtendedMult,turretSideMult,barbetteMult,deckMin,deckMax,deckExtendedMult,turretTopMult,ctMin,ctMax,superMin,superMax,foreAftVariation,citadelMult
bb,1890,9,16,0.3,1.2,1.1,0.2,1,0.2,1.1,3.5,18,0.7,4,0,1
bb,1900,9,16,0.3,1.2,1.1,0.6,1,0.2,1.1,3.5,18,0.7,4,0,1
bb,1910,11,16,0.2,1.2,1.1,0.8,1.5,0.2,1.1,3.5,18,0.7,4,0,1
bb,1920,11.5,16,0.15,1.2,1.1,1.5,2.5,0.2,1.1,3.5,18,0.8,4,0,1
bb,1930,12,16,0.15,1.2,1.1,2.5,4.5,0.2,1.1,3.5,18,0.8,4,0,1
bb,1940,12.5,18,0.1,1.2,1.1,3.5,7,0.2,1.1,4,20,0.9,4,0,1
bb,1950,13,18,0.1,1.2,1.1,4,8,0.2,1.2,4,20,0.9,4,0,1
bc,1900,6,14,0.1,1.2,1.1,0.5,0.9,0.2,1.1,4,16,0.6,4,0,1
bc,1910,6,14,0.1,1.2,1.1,0.6,1,0.2,1.1,4,16,0.6,4,0,1
bc,1920,6.5,14,0.1,1.2,1.1,1.2,2,0.2,1.1,4,16,0.7,4,0,1
bc,1930,7,14,0.1,1.2,1.1,2,4,0.2,1.1,4,16,0.7,4,0,1
bc,1940,7.5,14,0.1,1.2,1.1,3,4.5,0.2,1.1,4,16,0.7,4,0,1
bc,1950,8,14,0.1,1.2,1.1,3.5,5.5,0.2,1.1,4,16,0.7,4,0,1
ca,1890,4,10,0.4,1.2,1.1,0.3,0.5,0.5,1.1,2,12,0.5,3,0,1
ca,1900,5,10,0.4,1.2,1.1,0.4,0.7,0.5,1.1,2,12,0.5,3,0,1
ca,1910,5,10,0.3,1.2,1.1,0.5,0.8,0.5,1.1,2,12,0.5,3,0,1
ca,1920,5.5,10,0.25,1.2,1.1,1,1.8,0.5,1.1,2,12,0.5,3,0,1
ca,1930,5.5,10,0.2,1.2,1.1,1.6,3.2,0.5,1.1,2,12,0.5,3,0,1
ca,1940,6,10,0.15,1.2,1.1,2,3.7,0.5,1.1,2,12,0.5,3,0,1
ca,1950,6,10,0.15,1.2,1.1,2.5,4,0.5,1.1,2,12,0.5,3,0,1
cl,1890,2,6,0.2,1.2,1.1,0.3,0.5,0.5,1.1,1.3,8,0.3,3,0,1
cl,1900,2.2,6,0.2,1.2,1.1,0.4,0.7,0.5,1.1,1.3,8,0.3,3,0,1
cl,1910,2.5,6,0.1,1.2,1.1,0.5,0.8,0.5,1.1,1.3,8,0.4,3,0,1
cl,1920,2.7,6,0.1,1.2,1.1,1,1.8,0.5,1.1,1.3,8,0.4,3,0,1
cl,1930,3.2,6,0.1,1.2,1.1,1.6,3.2,0.5,1.1,1.3,8,0.5,3,0,1
cl,1940,3.7,6,0.1,1.2,1.1,2,3.7,0.5,1.1,1.3,8,0.5,3,0,1
cl,1950,4,6,0.1,1.2,1.1,2.5,4,0.5,1.1,1.3,8,0.5,3,0,1
dd,1890,0.2,1.5,0.5,1.2,1.1,0.2,0.3,0.5,1.1,0.2,1.5,0.2,0.5,0,1
dd,1950,0.5,1.5,0.5,1.2,1.1,0.5,0.7,0.5,1.1,0.5,1.5,0.2,1.5,0,1
tb,1890,0.2,0.5,1,1.2,1.1,0.1,0.2,1,1,1,1.5,0.2,0.5,0,1
tb,1950,0.2,0.5,1,1.2,1.1,0.1,0.2,1,1,1,1.5,0.2,0.5,0,1
