#id,caliber in inches,ladder aiming progress growth upto one from double-shot salvo,target-locked aim progress,during aiming minimal delay between salvos,time to acquire target (estimation),visual shell+trail size modifier,visual size modifier: shot (fire+exhaust) from barrel,visual size modifier: water splash on hit water,small delay between shooting of different guns,TODO,TODO," chance to hit at max range (K=0.005 - very poor, K=0.05 - very good) (will scale inside expontentially, see below)","expontentinal modifier for accuracy (formula is: accuracy_base=K^(x^b), x is in [0;1] for mix/max range);",hit chance simple final multiplier,damage modifier (multiplier),air resistance,internal physics drag,basic turret weight,amount of shells per barrel,barrel's weight (used for cost too),,,,,gun's firerate (shots per minute),,,,,shell weight's (for arc),,,,,shell's velocity (for arc),,,,,max fire range (in km),,,,,,accuracy modifier,,,,,penetration modifier (multiplier),,,,,,,,,,,,,
@name,caliberInch,aimProgress,lockedProgress,aimSalvoDelay,#timeToAcquireTarget,shellSize,shotSize,splashSize,shootDelay,shootDelayMin,shootDelayMax,hitChanceMaxRange,hitChanceCurver,hitChanceMult,damageMod,dragX,#drag,baseWeight,ammo,barrelW_1,barrelW_2,barrelW_3,barrelW_4,barrelW_5,firerate_1,firerate_2,firerate_3,firerate_4,firerate_5,shellW_1,shellW_2,shellW_3,shellW_4,shellW_5,shellV_1,shellV_2,shellV_3,shellV_4,shellV_5,range_1,range_2,range_3,range_4,range_5,#rangeOriginal,accuracy_1,accuracy_2,accuracy_3,accuracy_4,accuracy_5,penetration_1,penetration_2,penetration_3,penetration_4,penetration_5,#Target Initial Ranges,#Drag,#Test Drag 1,#Accuracy Old,#Accuracy New,#Accuracy Old,#Accuracy New,#Accuracy Old,#Accuracy New
default,0,1,1,10,,1,1,1,0.2,0.2,0.2,0.01,1,1,1,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
1,1,165.375,2033.955866,2,0,0.11,0.4,0.6,3.5,0.05,14,0.00003,0.48,6,0.003,13.5,0.13,0.48,545,0.1364,0.13981,0.143,0.147,0.15,25,50,80,120,180,2,2.07,2.14245,2.21743575,2.295046001,795,818,866,890,914,"5,000","5,250","5,750","6,500","7,000","8,000",0.65,0.67,0.69,0.72,0.75,0.935,1.0098,1.090584,1.17783072,1.272057178,2275,18,45,3,1.2,0.3348,0.45198,83.148,116.4072
2,2,110.25,1694.963222,2,0,0.11,0.4,0.6,3.5,0.05,14,0.00003,0.4825,6,0.025,13.5,0.54,0.86,530,0.1689,0.1731225,0.177,0.182,0.186,20,25,30,40,60,2.5,2.5875,2.6780625,2.771794688,2.868807502,787,811,859,883,907,"5,500","5,750","6,500","7,000","8,000","9,000",0.65,0.67,0.69,0.72,0.75,0.935,1.0098,1.090584,1.17783072,1.272057178,2275,14.5,36.25,2.97,1.188,0.3348,0.45198,83.148,116.4072
3,3,73.5,736.9405313,3,0,0.1375,0.5,0.6,3.5,0.05,14,0.00003,0.4850,6,0.086,13,1.17,1.69,380,0.285,0.292125,0.299,0.307,0.314,12,15,20,25,30,11,11.385,11.783475,12.19589663,12.62275301,782,806,853,877,902,"6,000","6,250","7,000","8,000","9,000","10,000",0.65,0.67,0.69,0.72,0.75,0.935,1.0098,1.090584,1.17783072,1.272057178,3850,13.5,33.75,2.85,1.14,0.243,0.32805,73.2108,102.49512
4,4,58.8,334.9729688,4,0,0.19,0.6,0.8,3.25,0.05,14,0.00003,0.4875,6,0.209,13,2.08,3.4,330,0.5,0.5125,0.525,0.538,0.552,8,12,14,16,17,14.4,14.904,15.42564,15.9655374,16.52433121,773,797,844,868,893,"6,500","6,750","7,350","8,400","9,450","10,500",0.65,0.67,0.69,0.72,0.75,0.935,1.0098,1.090584,1.17783072,1.272057178,4900,12.9,32.25,2.73,1.092,0.216,0.2916,64.272,89.9808
5,5,47.04,159.5109375,5,0,0.31,0.8,0.95,3.35,0.05,14,0.00003,0.49,5,0.416,14,3.5,7.9,270,1.6,1.64,1.681,1.723,1.766,5,7,8.5,15,16,28.8,29.808,30.85128,31.9310748,33.04866242,763,787,834,858,883,"7,000","7,250","8,400","9,600","10,800","12,000",0.65,0.67,0.69,0.72,0.75,0.935,1.0098,1.090584,1.17783072,1.272057178,5950,12.7,31.75,2.61,1.044,0.2106,0.28431,52.26,73.164
6,6,11.76,80.15625,5.5,0,0.395,0.95,1,3.75,0.1,5,0.00003,0.4925,4,0.729,14,5.04,14.8,220,3.2,3.28,3.362,3.446,1.532,4,4.8,6,7,10,50,51.75,53.56125,55.43589375,57.37615003,754,778,825,849,874,"7,500","8,100","9,450","10,800","12,150","13,500",0.65,0.67,0.69,0.72,0.75,0.935,1.0098,1.090584,1.17783072,1.272057178,6650,12.5,31.25,2.49,0.996,0.1998,0.26973,42.9,60.06
7,7,0.588,42.1875,6,10,0.475,1.25,1.15,3.5,0.1,5,0.00003,0.495,4,1.172,17.5,8.57,22,180,4.8,4.92,5.043,5.169,5.298,3.5,4.6,5,6.5,7.5,70.4,72.864,75.41424,78.0537384,80.78561924,744,768,815,839,864,"8,000","9,000","10,500","12,000","13,500","15,000",0.65,0.67,0.69,0.72,0.75,0.935,1.0098,1.090584,1.17783072,1.272057178,7350,12,30,2.37,0.948,0.1944,0.26244,7.02,9.828
8,8,0.084,33.75,6.5,77,0.59,1.5,1.3,3,0.1,5,0.00003,0.4975,4,1.768,17.5,11.2,33,160,7.2,7.38,7.564,7.753,7.947,2,4,4.5,5,5.5,104,107.64,111.4074,115.306659,119.3423921,734,758,805,829,854,"9,075","9,900","11,550","13,200","14,850","16,500",0.65,0.67,0.69,0.72,0.75,0.94,1.0152,1.096416,1.18412928,1.278859622,8050,11.5,28.75,2.25,0.9,0.189,0.25515,6.63,9.282
9,9,0.042,27,7,166,0.65,2,1.55,0.375,0.2,5,0.00003,0.5,3,2.668,22.5,18.22,51,150,11.2,11.48,11.767,12.061,12.363,1.95,3.35,3.85,4.45,4.85,156.8,162.288,167.96808,173.8469628,179.9316065,725,749,796,830,845,"9,900","10,800","12,600","14,400","16,200","18,000",0.65,0.67,0.69,0.72,0.75,0.94,1.0152,1.096416,1.18412928,1.278859622,8750,11,27.5,2.214,0.8856,0.195,0.26325,5.46,7.644
10,10,0.045,33,9,200,0.7,2.6,1.8,0.45,0.22,5,0.00003,0.5025,2.5,3.690,18,18,64.8,140,14.2,14.555,14.919,15.292,15.674,1.85,2.25,2.75,3.15,4.15,207.2,214.452,221.95782,229.7263437,237.7667657,715,739,786,820,835,"11,000","12,000","14,000","16,000","18,000","20,000",0.65,0.67,0.69,0.72,0.75,0.94,1.0152,1.096416,1.18412928,1.278859622,9450,12,30,2.268,0.9072,0.384,0.5184,4.134,5.7876
11,11,0.05625,36.3,11,195,0.75,3.3,2.2,0.475,0.275,5,0.00003,0.505,2.2,4.949,17,20.57,80.2,130,17.6,18.04,18.491,18.953,19.427,1.65,2.07,2.45,2.85,3.65,277.6,287.316,297.37206,307.7800821,318.552385,705,729,776,810,825,"12,100","13,200","15,400","17,600","19,800","22,000",0.65,0.67,0.69,0.72,0.75,0.94,1.0152,1.096416,1.18412928,1.278859622,10150,12.5,31.25,2.322,0.9288,0.396,0.5346,3.978,5.5692
12,12,0.0703125,39.93,13,184,0.8,4,2.5,0.5,0.3,5,0.00003,0.5075,2,6.603,16,23.04,99.7,120,21.9,22.4475,23.01,23.584,24.173,1.40,2.01,2.32,2.55,3.35,388,401.58,415.6353,430.1825355,445.2389242,696,730,767,801,816,"13,200","14,400","16,800","19,200","21,600","24,000",0.65,0.67,0.69,0.72,0.75,0.945,1.0206,1.102248,1.19042784,1.285662067,11550,14.992215,37.4805375,2.376,0.9504,0.408,0.5508,3.822,5.3508
13,13,0.116015625,43.923,14,120,0.85,4.75,2.8,0.525,0.33,5,0.00003,0.51,2,7.886,15,25.35,121.8,110,26.7,27.3675,28.052,28.753,29.472,1.05,1.78,1.96,2.2,2.75,504,521.64,539.8974,558.793809,578.3515923,691,725,762,796,811,"14,300","15,600","18,200","20,800","23,400","26,000",0.65,0.67,0.69,0.72,0.75,0.95,1.026,1.10808,1.1967264,1.292464512,12250,13.992734,34.981835,2.43,0.972,0.3552,0.47952,3.666,5.1324
14,14,0.214628906,48.3153,15,69,0.9,5.55,3.1,0.55,0.36,5,0.00003,0.5125,2,9.908,3,5.88,146.6,110,32.2,33.005,33.83,34.676,35.543,0.8,1.75,1.86,2.1,2.5,600,621,642.735,665.230725,688.5138004,688,722,759,793,808,"15,400","16,800","19,600","22,400","25,200","28,000",0.65,0.67,0.69,0.72,0.75,0.955,1.0314,1.113912,1.20302496,1.299266957,13125,11.993772,29.98443,2.484,0.9936,0.3552,0.47952,3.51,4.914
15,15,0.321943359,60.394125,16,49,0.95,6.35,3.4,0.575,0.39,5,0.00003,0.515,2,12.253,1.5,3.37,174.2,110,38.3,39.2575,40.239,41.245,42.276,0.75,1.73,1.83,2,2.3,736,761.76,788.4216,816.016356,844.5769285,685,719,756,790,805,"16,500","18,000","21,000","24,000","27,000","30,000",0.65,0.67,0.69,0.72,0.75,0.96,1.0368,1.119744,1.20932352,1.306069402,14000,8.995329,22.4883225,2.538,1.0152,0.3552,0.47952,3.354,4.6956
16,16,0.482915039,75.49265625,17,35,1,7.25,3.75,0.6,0.42,5,0.00003,0.5175,2,14.948,1,2.56,201.8,110,45,46.125,47.278,48.46,49.672,0.7,1.67,1.72,1.95,2.1,880,910.8,942.678,975.67173,1009.820241,681,715,751,785,801,"17,600","19,200","22,400","25,600","28,800","32,000",0.65,0.67,0.69,0.72,0.75,0.965,1.0422,1.125576,1.21562208,1.312871846,15050,7.4961075,18.74026875,2.592,1.0368,0.3552,0.47952,3.198,4.4772
17,17,0.724372559,94.36582031,18,24,1.05,8.25,4.1,0.625,0.5,5,0.00003,0.52,2,18.017,0.75,2.16,227.8,110,52.4,53.71,55.053,56.429,57.84,1.4,1.58,1.69,1.85,1.9,1012,1047.42,1084.0797,1122.02249,1161.293277,676,710,746,780,796,"18,700","20,400","23,800","27,200","30,600","34,000",0.65,0.67,0.69,0.72,0.75,0.97,1.0476,1.131408,1.22192064,1.319674291,16100,5.996886,14.992215,2.7,1.08,0.3552,0.47952,3.042,4.2588
18,18,0.86924707,117.9572754,20,23,1.1,9.3,4.45,0.65,0.6,5,0.00003,0.5225,2,21.485,0.25,0.81,250.8,110,61.3,62.8325,64.403,66.013,67.664,1.3,1.5,1.62,1.81,1.86,1200,1242,1285.47,1330.46145,1377.027601,671,705,741,776,791,"19,800","21,600","25,200","28,800","32,400","36,000",0.65,0.67,0.69,0.72,0.75,0.975,1.053,1.13724,1.2282192,1.326476736,17150,3.4981835,8.74545875,2.808,1.1232,0.3552,0.47952,2.886,4.0404
19,19,1.043096484,147.4465942,22,21,1.15,10,4.75,0.675,0.7,5,0.00003,0.525,2,25.378,0.05,0.18,301.6,100,76.1,78.0025,79.952,81.951,84,1.24,1.4,1.56,1.65,1.72,1400,1449,1499.715,1552.205025,1606.532201,666,700,736,770,785,"20,900","22,800","26,600","30,400","34,200","38,000",0.65,0.67,0.69,0.72,0.75,0.975,1.053,1.13724,1.2282192,1.326476736,17150,2.125,5.3125,3,1.2,0.3552,0.47952,2.73,3.822
20,20,1.251715781,184.3082428,24,19,1.2,11,5,0.7,0.8,5,0.00003,0.5275,2,29.721,0.05,0.2,378.5,100,102.3,104.8575,107.479,110.166,112.92,1.12,1.19,1.25,1.4,1.51,1560,1614.6,1671.111,1729.599885,1790.135881,661,695,731,765,780,"22,000","24,000","28,000","32,000","36,000","40,000",0.65,0.67,0.69,0.72,0.75,0.975,1.053,1.13724,1.2282192,1.326476736,17150,1.275,3.1875,3.3,1.32,0.3552,0.47952,2.574,3.6036
21,21,1.502058938,230.3853035,26,17,1.3,12,5.25,0.75,0.84,5,0.00003,0.53,2,34.541,0.05,0.22,475.3,100,116.2,119.105,122.082,125.135,128.263,1.02,1.1,1.16,1.24,1.37,1720,1780.2,1842.507,1906.994745,1973.739561,648,654,689,725,759,"23,100","25,200","29,400","33,600","37,800","42,000",0.65,0.67,0.69,0.72,0.75,0.975,1.053,1.13724,1.2282192,1.326476736,17150,1.1,2.75,3.6,1.44,0.3552,0.47952,2.574,3.6036
#,,,,,,,,,,,,,,,,,,temp_modifiers,,weight modifiers,,,,tert,1.25,1.45,1.65,1.8,1.95,Shell Weight Modifier,,,,,Shell Speed Modifier,,,,,range modifiers,,,,,,,,,,,penetration,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,0.016,,1,,,,sec,1.05,1.4,1.6,1.85,2,1,,,,,1,1.025,1.05,1.1,1.125,0.55,0.6,0.7,0.8,0.9,base,,,,,,,1.08,1.1,1.12,1.15,,,,,,,,,
#,,,,,,,,,,,,,,,,,,0.1,,0.22,,,,main,1.05,1.4,1.65,1.9,2,,,,,,,,,,,0.45,0.5,0.55,0.75,1,old,,,,,,,,,,,,,,,Old Shell Velocities,,,,
#,,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784.35,812.7,848.61,926.1,982.8,
#,,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.9,803.25,838.215,893.025,945,
#,,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,765.45,793.8,827.82,878.85,916.65,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,756,784.35,818.37,864.675,907.2,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746.55,774.9,807.975,859.95,902.475,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737.1,765.45,800.415,855.225,897.75,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727.65,763.56,797.58,850.5,893.025,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718.2,760.725,794.745,845.775,888.3,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.75,758.835,791.91,841.05,883.575,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.3,748.44,789.075,834.435,878.85,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689.85,738.045,784.35,830.655,872.235,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685.125,719.145,755.055,792.855,832.545,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,714.42,750.33,788.13,827.82,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679,709.695,745.605,782.46,821.205,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675,704.97,739.935,776.79,815.535,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,670,694.575,729.54,766.395,805.14,
