# Index,Enabled,Part ID,Mount Rotation,Position,Mount Position Type,Valid Part Types,Min Caliber,Max Caliber,Min Barrel #,Max Barrel #,Collision Checks,Left Fire Angle Override,Right Fire Angle Override,Orient Fire Arc?,Rotate Same?,# Comment 1,# Comment 2
#,,,(0-360),"(x: +Starboard/-Port, y: +Up/-Down, z: Fore/Aft)","(any, center, side)",See Comment,"in, 0 = all","in, 0 = all",0 = all,0 = all,See Comment,See Comment,See Comment,fore/aft or starboard/port. No clue what it does.,1=true/0=false. No clue what it does.,,
@index,enabled,parent,rotation,position,mount_pos_type,accepts,caliber_min,caliber_max,barrels_min,barrels_max,collision,angle_left,angle_right,orientation,rotate_same,,
default,1,,0,,any,barbette,0,0,0,0,check_all,0,0,,,,
# Please read !!,,,,,,,,,,,,,,,,,
# DO NOT CHANGE @index.,,,,,,,,,,,,,,,,,
"# For creating new mounts, set the index to -1.",,,,,,,,,,,,,,,,,
# Important info below,,,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,
# COLLISION CHECKS,,,,,,,,,,,,,,,,,
# check_all,,Self explanitory.,,,,,,,,,,,,,,,
# ignore_collision_check,,Ignore collision checks entirely.,,,,,,,,,,,,,,,
# ignore_parent,,"When checking for collisions, ignore the object this mount is bound to.",,,,,,,,,,,,,,,
# ignore_expand,,Ignore all parts except for the object this mount is bound to (inverse of ignore_parent).,,,,,,,,,,,,,,,
# ignore_height,,Not sure what this does. Might be related to increasing diamiter.,,,,,,,,,,,,,,,
# ignore_fire_angle_check,,Use Left/Right Fire Angle Override instead of calculating the firing angle.,,,,,,,,,,,,,,,
# casemate_ignore_collision,,"Not sure what this does, used randomly.",,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,
# VALID PARTS,,,,,,,,,,,,,,,,,
# any,,"Self explanitory, part Ids can be mixed per mount e.g tower_main,funnel",,,,,,,,,,,,,,,
# tower_main,,Only mounts main towers,,,,,,,,,,,,,,,
# tower_sec,,Only mounts secondary towers,,,,,,,,,,,,,,,
# funnel,,Only mounts funnels,,,,,,,,,,,,,,,
# si_barbette,,Only mounts barbettes,,,,,,,,,,,,,,,
# barbette,,Only mounts guns,,,,,,,,,,,,,,,
# casemate,,Only mounts casemates,,,,,,,,,,,,,,,
# sub_torpedo,,Only mounts underwater torpedoes,,,,,,,,,,,,,,,
# deck_torpedo,,Only mounts deck-lauched torpedoes,,,,,,,,,,,,,,,
# special,,Only mounts cargo (cannot be placed by player),,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,
# Left/Right Fire Angle Override,,,,,,,,,,,,,,,,,
# ,,Left and right defines the leftmost and rightmost bounds of a firing arc. The mount's rotation is added to these values.,,,,,,,,,,,,,,,
# Table of Contents:,,,,,,,,,,,,,,,,,
# Torpedoes,,42-62,,,,,,,,,,,,,,,
# Barbettes,,63-149,,,,,,,,,,,,,,,
# Funnels,,150-437,,,,,,,,,,,,,,,
# Tower Main,,438-3258,,,,,,,,,,,,,,,
# Tower Sec,,3259-4248,,,,,,,,,,,,,,,
# Hulls,,4249-40631,,,,,,,,,,,,,,,
# Guns,,40632-end,,,,,,,,,,,,,,,
# ,,,,,,,,,,,,,,,,,
# akizuki_torpedo_x1,,,,,,,,,,,,,,,,,
# akizuki_torpedo_x2,,,,,,,,,,,,,,,,,
# akizuki_torpedo_x3,,,,,,,,,,,,,,,,,
# akizuki_torpedo_x4,,,,,,,,,,,,,,,,,
# akizuki_torpedo_x5,,,,,,,,,,,,,,,,,
# moga_torpedo_x1,,,,,,,,,,,,,,,,,
# moga_torpedo_x2,,,,,,,,,,,,,,,,,
# moga_torpedo_x3,,,,,,,,,,,,,,,,,
# moga_torpedo_x4,,,,,,,,,,,,,,,,,
# moga_torpedo_x5,,,,,,,,,,,,,,,,,
# spee_torpedo_x1,,,,,,,,,,,,,,,,,
# spee_torpedo_x2,,,,,,,,,,,,,,,,,
# spee_torpedo_x3,,,,,,,,,,,,,,,,,
# spee_torpedo_x4,,,,,,,,,,,,,,,,,
# spee_torpedo_x5,,,,,,,,,,,,,,,,,
# sub_torpedo,,,,,,,,,,,,,,,,,
# torpedo_x1,,,,,,,,,,,,,,,,,
# torpedo_x2,,,,,,,,,,,,,,,,,
# torpedo_x3,,,,,,,,,,,,,,,,,
# torpedo_x4,,,,,,,,,,,,,,,,,
# torpedo_x5,,,,,,,,,,,,,,,,,
# akizuki_barbette_average,,,,,,,,,,,,,,,,,
10,,akizuki_barbette_average,0,"(0.0000, 2.0000, 1.7500)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height,ignore_height",,,fore/aft,,,
# akizuki_barbette_big,,,,,,,,,,,,,,,,,
4,,akizuki_barbette_big,0,"(0.0000, 2.0000, 1.7500)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# akizuki_barbette_small,,,,,,,,,,,,,,,,,
7,,akizuki_barbette_small,0,"(0.0000, 2.2400, 0.0000)",,"barbette,deck_torpedo",,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# arizona_barbette_a,,,,,,,,,,,,,,,,,
17,,arizona_barbette_a,0,"(0.0000, 4.0400, 0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# arizona_barbette_b_short,,,,,,,,,,,,,,,,,
8,,arizona_barbette_b_short,0,"(0.0000, 0.8800, 0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# atlanta_barbette_a,,,,,,,,,,,,,,,,,
4,,atlanta_barbette_a,0,"(0.0000, 4.2500, -2.2700)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",-135,137,,,,
5,,atlanta_barbette_a,0,"(0.0000, 2.0500, 5.3000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",-135,137,,,,
# atlanta_barbette_b,,,,,,,,,,,,,,,,,
7,,atlanta_barbette_b,0,"(0.0000, 2.2000, 0.0000)",,"barbette,deck_torpedo",,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,1,,
# atlanta_barbette_c,,,,,,,,,,,,,,,,,
7,,atlanta_barbette_c,0,"(0.0000, 3.9800, 4.6900)",,"barbette,deck_torpedo",,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,1,,
# atlanta_barbette_d,,,,,,,,,,,,,,,,,
4,,atlanta_barbette_d,0,"(0.0000, 4.1000, -3.6400)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,1,,
5,,atlanta_barbette_d,0,"(0.0000, 2.1000, 6.1600)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,1,,
# brooklyn_barbette_a,,,,,,,,,,,,,,,,,
4,,brooklyn_barbette_a,0,"(0.0000, 2.9800, 0.0000)",,"barbette,deck_torpedo",,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,,,
# dante_barbette,,,,,,,,,,,,,,,,,
# de_Ruyter_barbette,,,,,,,,,,,,,,,,,
4,,de_Ruyter_barbette,0,"(0.0000, 2.2700, 0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,,,
# dido_barbette_a,,,,,,,,,,,,,,,,,
1,,dido_barbette_a,0,"(0.0000, 4.0000, 0.6652)",,"barbette,deck_torpedo",,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,,,
# dido_barbette_b,,,,,,,,,,,,,,,,,
1,,dido_barbette_b,0,"(0.0000, 2.0000, -0.7100)",,"barbette,deck_torpedo",,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,,,
# dido_barbette_c,,,,,,,,,,,,,,,,,
1,,dido_barbette_c,0,"(0.0000, 4.1600, 0.0000)",,"barbette,deck_torpedo",,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,,,
# dido_barbette_d,,,,,,,,,,,,,,,,,
1,,dido_barbette_d,0,"(0.0000, 2.0000, 0.0000)",,"barbette,deck_torpedo",,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,,,
# dido_side_barbette_a,,,,,,,,,,,,,,,,,
1,,dido_side_barbette_a,0,"(0.1600, 3.9994, -3.8000)",,"barbette,deck_torpedo",,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,,,
# dido_side_barbette_b,,,,,,,,,,,,,,,,,
1,,dido_side_barbette_b,0,"(-0.1600, 3.9994, -3.8000)",,"barbette,deck_torpedo",,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,,,
# dido_side_barbette_c,,,,,,,,,,,,,,,,,
1,,dido_side_barbette_c,90,"(0.2542, 2.1524, -5.0679)",,"barbette,deck_torpedo",,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,,,
# dido_side_barbette_d,,,,,,,,,,,,,,,,,
1,,dido_side_barbette_d,0,"(-0.2542, 2.1524, -5.0679)",,"barbette,deck_torpedo",,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,,,
# dreadnought_si_barbette_average,,,,,,,,,,,,,,,,,
5,,dreadnought_si_barbette_average,0,"(0.0000, 3.2000, 0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# dreadnought_si_barbette_big,,,,,,,,,,,,,,,,,
9,,dreadnought_si_barbette_big,0,"(0.0000, 3.7300, 0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# dreadnought_si_barbette_huge,,,,,,,,,,,,,,,,,
24,,dreadnought_si_barbette_huge,0,"(0.0000, 4.0300, 0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# fuso_barbette,,,,,,,,,,,,,,,,,
15,,fuso_barbette,0,"(0.0000, 3.6300, 0.0350)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,,,
# fuso_barbette_small,,,,,,,,,,,,,,,,,
15,,fuso_barbette_small,0,"(0.0000, 3.6300, 0.0350)",,"barbette,deck_torpedo",,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,,,,
# hood_si_barbette,,,,,,,,,,,,,,,,,
10,,hood_si_barbette,0,"(0.0000, 4.1800, 0.0000)",,barbette,,,,,"ignore_collision_check, ignore_parent,ignore_expand,ignore_height",,,fore/aft,,,
# hood_si_barbette_big,,,,,,,,,,,,,,,,,
