#id (do not edit)                ,enabled / disabled,caliber in mm,sub-name,country override (several),ship type override (several),"model, grade N","scaling, grade N","scaling, grade N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,enabled,#mm,subName,countries,shipTypes,model_1,scale_1,max_scale_1,weight_modifier_1,caliber_length_modifier_1,model_2,scale_2,max_scale_2,weight_modifier_2,caliber_length_modifier_2,model_3,scale_3,max_scale_3,weight_modifier_3,caliber_length_modifier_3,model_4,scale_4,max_scale_4,weight_modifier_4,caliber_length_modifier_4,model_5,scale_5,max_scale_5,weight_modifier_5,caliber_length_modifier_5,#,#2,#3,#4,#5,#6,#7,#8,#9,#10
default,1,,,,,,-1,-1,1,40,,-1,-1,1,45,,-1,-1,1,45,,-1,-1,1,45,,-1,-1,1,50,,,,,,,,,,
###,,,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_2_x1_alt,,51,gun_2_x1_alt,,,small_gun_a_51_x1,1.75,1.9,0.92,50,small_gun_b_51_x1,1.75,1.9,0.92,50,richelieu_gun_120_x1,0.596,0.722,0.92,55,bofors_gun_40_x1,0.596,0.722,0.92,55,bofors_gun_40_x1,0.596,0.722,0.92,60,,,,,,,,,,
gun_2_x2_alt,,51,gun_2_x2_alt,,,massena_gun_138_x2,0.452,0.614,0.7,50,maine_gun_152_x2,0.504,0.698,0.7,50,richelieu_gun_120_x2,0.596,0.722,0.7,55,bofors_gun_40_x2,0.596,0.722,0.7,55,bofors_gun_40_x2,0.596,0.722,0.7,60,,,,,,,,,,
gun_2_x3_alt,,51,gun_2_x3_alt,,,maine_gun_152_x3,0.504,0.698,0.55,50,maine_gun_152_x3,0.504,0.698,0.55,50,richelieu_gun_120_x3,0.596,0.722,0.55,55,bofors_gun_40_x3,0.596,0.722,0.55,55,bofors_gun_40_x3,0.596,0.722,0.55,60,,,,,,,,,,
gun_2_x4_alt,,51,gun_2_x4_alt,,,pompom_gun_a_x4,1,1.09,0.5,50,pompom_gun_a_x4,1,1.09,0.5,50,pompom_gun_a_x4,1,1.09,0.5,55,pompom_gun_a_x4,1,1.09,0.5,55,pompom_gun_a_x4,1,1.09,0.5,60,,,,,,,,,,
gun_3_x1_alt,,76,gun_3_x1_alt,,,bouvet_gun_100_x1,0.92,1,1,45,cressy_gun_76_x1,1.445,1.63,1,50,vw_gun_120_x1,0.88,0.98,1,55,bofors_gun_40_x1,0.732,0.858,1,55,bofors_gun_40_x1,0.732,0.858,1,55,,,,,,,,,,
gun_3_x2_alt,,76,gun_3_x2_alt,,,massena_gun_138_x2,0.634,0.796,1.08,45,maine_gun_152_x2,0.718,0.912,1.08,50,ussr_gun_100_x2,0.4915,0.626,1.08,55,bofors_gun_40_x2,0.732,0.858,1.08,55,bofors_gun_40_x2,0.732,0.858,1.08,55,,,,,,,,,,
gun_3_x3_alt,,76,gun_3_x3_alt,,,maine_gun_152_x3,0.718,0.912,0.83,45,maine_gun_152_x3,0.718,0.912,0.83,50,ussr_gun_100_x3,0.4915,0.626,0.83,55,bofors_gun_40_x3,0.732,0.858,0.83,55,bofors_gun_40_x3,0.732,0.858,0.83,55,,,,,,,,,,
gun_3_x4_alt,,76,gun_3_x4_alt,,,pompom_gun_a_x4,1.1,1.19,0.74,45,pompom_gun_a_x4,1.1,1.19,0.74,50,pompom_gun_a_x4,1.1,1.19,0.74,55,pompom_gun_a_x4,1.1,1.19,0.74,55,pompom_gun_a_x4,1.1,1.19,0.74,55,,,,,,,,,,
gun_4_x1_alt,,102,gun_4_x1_alt,,,bouvet_gun_100_x1,1.02,1.1,1.1,45,cressy_gun_76_x1,1.64,1.825,1.1,50,vw_gun_120_x1,1,1.1,1.1,55,vw_gun_120_x1,1,1.1,1.1,55,vw_gun_120_x1,1,1.1,1.1,55,,,,,,,,,,
gun_4_x2_alt,,102,gun_4_x2_alt,,,massena_gun_138_x2,0.816,0.978,1.28,45,pen_gun_127_x2,1.06,1.285,1.28,50,pola_gun_100_x2,0.868,0.994,1.28,55,qe_gun_114_x2,0.868,0.994,1.28,55,qe_gun_114_x2,0.868,0.994,1.28,55,,,,,,,,,,
gun_4_x3_alt,,102,gun_4_x3_alt,,,maine_gun_152_x3,0.932,1.126,1,45,pen_gun_127_x3,1.06,1.285,1,50,pola_gun_100_x3,0.868,0.994,1,55,qe_gun_114_x3,0.868,0.994,1,55,qe_gun_114_x3,0.868,0.994,1,55,,,,,,,,,,
gun_5_x1_alt,,127,gun_5_x1_alt,,,brandenburg_gun_102_x1,1.1895,1.325,0.85,45,dd_s_gun_d_102_x1,1.2,1.34,0.85,50,dd_s_gun_c_102_x1,1.45,1.57,0.85,55,dd_s_gun_b_102_x1,1.45,1.57,0.85,55,akizuki_gun_b_127_x1,0.8005,0.935,0.85,55,,,,,,,,,,
gun_5_x2_alt,,127,gun_5_x2_alt,,,tsesarevich_gun_152_x2,0.8005,0.935,0.95,45,maine_gun_152_x2,1.186,1.34,0.95,50,dreadnought_gun_178_x2,1.004,1.13,0.95,55,bismarck_gun_150_x2,0.8005,0.935,0.95,55,richelieu_gun_152_x2,0.551,0.651,0.95,55,,,,,,,,,,
gun_5_x3_alt,,127,gun_5_x3_alt,,,tsesarevich_gun_152_x3,0.8005,0.935,0.75,45,maine_gun_152_x3,1.186,1.34,0.75,50,dreadnought_gun_178_x3,1.004,1.13,0.75,55,bismarck_gun_150_x3,0.8005,0.935,0.75,55,richelieu_gun_152_x3,0.551,0.651,0.75,55,,,,,,,,,,
