@name,enabled,type,nameUi,order,cost,weight,costMod,crew,model,scale,group,mountPoints,countries,param,stats,caliber,#caliberInch,barrels,hullWeightRatio,sectionsMin,sectionsMax,tonnageMin,tonnageMax,maxAllowedCaliber,beamMin,beamMax,draughtMin,draughtMax,beamCoef,draughtCoef,minMainTurrets,minMainBarrels,speedLimiter,#comment,#comment2,#cost_base,#cost_base_mod
#id,enabled / disabled,type of part,name for human,order in ui,part's cost,used tonnage,cost multiplier (after auto-calc),crew for part,visual model name,scaling of model,grouping (for guns etc),allowed mount points types (empty means free),available to countries (or all),various params: todo: document,Column1,gun: caliber in mm,gun: caliber in inches,gun: amount of barrels,hull: basic ratio of hull weight,hull: min amount of sections,hull: max amount of sections,hull: max allowed tonnage,hull: max allowed tonnage2,guns limi,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,"comment, shown only here",,part's cost,
default,1,,,0,0,0,1,0,,1,,,,,,0,0,0,-1,0,-1,-1,-1,-1,-9,10,-15,16.5,0.6,0.505,-1,-1,32.5,,32,0,
##,,hull,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb_7_scandinavia,,hull,Super Battleship III,,-1,-1,1.5,1200,bismarck_hull_a,1.3,,,"spain, denmark, norway, sweden","type(bb), ai_min_caliber_main(14), BB_Soyuz_Big, Big_SuperStructure, Mixed_Quads, bb, g4","hsize(4250), hull_form(95), stability(91), floatability(79), endurance(85), spot(0), turn(32.5), vis(8600), beam(0), draught(0), armor(100)",,,,0.175,1,3,94000,117500,,-12,12,-22.5,18.5,0.75,0.65,3,6,27,,31.5,-1,
bb_7_france,,hull,Super Battleship III,,-1,-1,1.6,1200,richelieu_hull_b,1.45,,,france,"type(bb), ai_min_caliber_main(14), BB_Modern_France, Typical_Modern2_BB, French_Fast_BB, bc, g4","hsize(3750), hull_form(106), stability(87), floatability(87), endurance(72), spot(0), turn(52), vis(8600), beam(0), draught(0), armor(100)",,,,0.17,1,3,87500,120000,,-10,10,-20,20,0.75,0.65,3,6,27,,30,-1,
bb_7_bismarck,,hull,Super Battleship II,,-1,-1,1.63,1250,bismarck_hull_a,1.4,,,germany,"type(bb), ai_min_caliber_main(14), BB_Modern_Germany_Wider, Big_SuperStructure, Typical_Modern_BB, No_Barb, bb, g4","hsize(4500), hull_form(96), stability(91), floatability(80), endurance(85), spot(0), turn(30), vis(8800), beam(0), draught(0), armor(100)",,,,0.18,1,3,104000,130000,,-12,12,-22.5,18.5,0.75,0.65,3,6,27,,31.5,-1,
bb_7_soyuz,,hull,Super Battleship II,,-1,-1,1.6,1150,ussr_hull_a,1.22,,,russia,"type(bb), ai_min_caliber_main(14), BB_Soyuz_Big, Big_SuperStructure, Mixed_Quads, bb, g4","hsize(9700), hull_form(85), stability(80), floatability(75), endurance(84), spot(0), turn(27), vis(9150), beam(0), draught(0), armor(100)",,,,0.2,4,6,96000,123000,,-12,12,-22.5,18.5,0.75,0.65,3,6,27,,30,-1,
bb_6_france,,hull,Super Battleship II,,-1,-1,1.55,1100,hood_hull_a_sternmod,1.52,,,france,"type(bb), ai_min_caliber_main(14), BB_Modern_France, Typical_Modern2_BB, French_Fast_BB, bc, g4","hsize(3500), hull_form(106), stability(85), floatability(85), endurance(70), spot(0), turn(50), vis(8400), beam(0), draught(0), armor(100)",,,,0.1675,1,2,82500,95000,,-10.5,10.5,-20.5,17.5,0.73,0.625,3,6,28,,31.5,-1,
bb_6_bismarck,,hull,Super Battleship I,,-1,-1,1.6,1150,bismarck_hull_a,1.2,,,"germany, ottoman","type(bb), ai_min_caliber_main(14), BB_Modern_Germany, BB_Modern_Germany_Wide, No_Barb, bb, g4","hsize(4000), hull_form(94), stability(91), floatability(78), endurance(85), spot(0), turn(35), vis(8400), beam(0), draught(0), armor(100)",,,,0.17,1,3,84000,105000,,-12,12,-22.5,18.5,0.75,0.65,3,6,28,,31.5,-1,
bb_7_russia,,hull,Super Battleship I,,-1,-1,1.6,1150,spee_hull_a,1.82,,,russia,"type(bb), ai_min_caliber_main(14), BB_Modern_Thick, Big_SuperStructure, Mixed_Quads, bb, g4, var(back_gun)","hsize(8700), hull_form(85), stability(76), floatability(72), endurance(85), spot(0), turn(22), vis(8900), beam(0), draught(0), armor(100)",,,,0.19,2,3,85000,99000,,-12,12,-22.5,18.5,0.75,0.65,3,6,28,,30,-1,
