@name,enabled,type,nameUi,order,cost,weight,costMod,crew,model,scale,group,mountPoints,countries,param,stats,caliber,#caliberInch,barrels,hullWeightRatio,sectionsMin,sectionsMax,tonnageMin,tonnageMax,maxAllowedCaliber,beamMin,beamMax,draughtMin,draughtMax,beamCoef,draughtCoef,minMainTurrets,minMainBarrels,speedLimiter,#comment,#comment2,#cost_base,#cost_base_mod
#id,enabled / disabled,type of part,name for human,order in ui,part's cost,used tonnage,cost multiplier (after auto-calc),crew for part,visual model name,scaling of model,grouping (for guns etc),allowed mount points types (empty means free),available to countries (or all),various params: todo: document,,gun: caliber in mm,gun: caliber in inches,gun: amount of barrels,hull: basic ratio of hull weight,hull: min amount of sections,hull: max amount of sections,hull: max allowed tonnage,hull: max allowed tonnage,guns limi,,,,,,,,,,"comment, shown only here",,part's cost,
default,1,,,0,0,0,1,0,,1,,,,,,0,0,0,-1,0,-1,-1,-1,-1,-9,10,-15,16.5,0.6,0.505,-1,-1,32.5,,32,0,
##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sea_valve,,funnel,Sea Valve (Engine Placement Adjustment),,30000,10,,1,sub_torpedo,0.3,,"sub_torpedo, funnel, si_barbette",,needunlock(earlyDDtowers_level_2),"funnel(0), fcap(0), smoke(0), size(0.1)",,,,,,,,,,,,,,,,,,,,,,
##,,alt gun high,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,
gun_9_x2_alt,,gun,Centerline Gun,,-1,-1,,75,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_ca, small_center, supergun_ca",size(2.7),229,9,2,,,,,,,,,,,,,,,,,,-1,
gun_9_x3_alt,,gun,Centerline Gun,,-1,-1,,90,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_ca, small_center, supergun_ca",size(3),229,9,3,,,,,,,,,,,,,,,,,,-1,
gun_10_x2_alt,,gun,Centerline Gun,,-1,-1,,80,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_bc_small, small_center, main_ca, supergun_ca",size(3.7),254,10,2,,,,,,,,,,,,,,,,,,-1,
gun_10_x3_alt,,gun,Centerline Gun,,-1,-1,,95,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_bc_small, main_spee, main_ca, supergun_ca",size(4),254,10,3,,,,,,,,,,,,,,,,,,-1,
gun_11_x2_alt,,gun,Centerline Gun,,-1,-1,,85,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_bc_small, small_center, main_g3, supergun_ca",size(4.7),279,11,2,,,,,,,,,,,,,,,,,,-1,
gun_11_x3_alt,,gun,Centerline Gun,,-1,-1,,100,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_bc_small, main_spee, main_g3, supergun_ca",size(5),279,11,3,,,,,,,,,,,,,,,,,,-1,
gun_12_x2_alt,,gun,Centerline Gun,,-1,-1,,90,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_bc, main_bc_small, small_center, main_g3",size(6.2),305,12,2,,,,,,,,,,,,,,,,,,-1,
gun_12_x3_alt,,gun,Centerline Gun,,-1,-1,,105,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_bc, main_bc_small, main_g3, main_spee",size(6.5),305,12,3,,,,,,,,,,,,,,,,,,-1,
gun_13_x2_alt,,gun,Centerline Gun,,-1,-1,,95,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_bc, main_bc_small, main_g3",size(7.7),330,13,2,,,,,,,,,,,,,,,,,,-1,
gun_13_x3_alt,,gun,Centerline Gun,,-1,-1,,110,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_bc, main_bc_small, main_g3",size(8),330,13,3,,,,,,,,,,,,,,,,,,-1,
gun_14_x2_alt,,gun,Centerline Gun,,-1,-1,,100,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_bc, main_bc_small, main_g3, main_bismarck",size(9.2),356,14,2,,,,,,,,,,,,,,,,,,-1,
gun_14_x3_alt,,gun,Centerline Gun,,-1,-1,,115,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_bc, main_bc_small, main_g3, main_bismarck",size(9.5),356,14,3,,,,,,,,,,,,,,,,,,-1,
gun_15_x2_alt,,gun,Centerline Gun,,-1,-1,,105,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center_big, main_center, main_bc, main_g3, main_bismarck, no_quad",size(11.5),381,15,2,,,,,,,,,,,,,,,,,,-1,
gun_15_x3_alt,,gun,Centerline Gun,,-1,-1,,120,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center_big, main_center, main_bc, main_g3, main_bismarck, no_quad",size(12),381,15,3,,,,,,,,,,,,,,,,,,-1,
gun_16_x2_alt,,gun,Centerline Gun,,-1,-1,,110,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_center_big, main_bismarck, no_quad",size(14.5),406,16,2,,,,,,,,,,,,,,,,,,-1,
gun_16_x3_alt,,gun,Centerline Gun,,-1,-1,,130,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_center_big, main_bismarck, no_quad",size(15),406,16,3,,,,,,,,,,,,,,,,,,-1,
gun_17_x2_alt,,gun,Centerline Gun,,-1,-1,,115,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_center_big, no_quad",size(16.5),432,17,2,,,,,,,,,,,,,,,,,,-1,
gun_17_x3_alt,,gun,Centerline Gun,,-1,-1,,140,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_center_big, no_quad",size(17),432,17,3,,,,,,,,,,,,,,,,,,-1,
gun_18_x2_alt,,gun,Centerline Gun,,-1,-1,,125,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_center_big, no_quad",size(18.5),457,18,2,,,,,,,,,,,,,,,,,,-1,
gun_18_x3_alt,,gun,Centerline Gun,,-1,-1,,150,(custom),,Centerline Guns,"free, center, barbette",,"center, main_center, main_center_big, no_quad",size(19),457,18,3,,,,,,,,,,,,,,,,,,-1,
gun_9_x2_alt_side,,gun,Side Gun,,-1,-1,,75,(custom),,Side Guns,"free, side, barbette",,"side, main_side, main_agamemnon, small_side",size(2.7),229,9,2,,,,,,,,,,,,,,,,,,-1,
gun_9_x3_alt_side,,gun,Side Gun,,-1,-1,,90,(custom),,Side Guns,"free, side, barbette",,"side, main_side, main_agamemnon, small_side",size(3),229,9,3,,,,,,,,,,,,,,,,,,-1,
gun_10_x2_alt_side,,gun,Side Gun,,-1,-1,,80,(custom),,Side Guns,"free, side, barbette",,"side, main_side, main_agamemnon, small_side",size(3.7),254,10,2,,,,,,,,,,,,,,,,,,-1,
gun_10_x3_alt_side,,gun,Side Gun,,-1,-1,,95,(custom),,Side Guns,"free, side, barbette",,"side, main_side, main_agamemnon, small_side",size(4),254,10,3,,,,,,,,,,,,,,,,,,-1,
gun_11_x2_alt_side,,gun,Side Gun,,-1,-1,,85,(custom),,Side Guns,"free, side, barbette",,"side, main_side, main_agamemnon, small_side",size(4.7),279,11,2,,,,,,,,,,,,,,,,,,-1,
gun_11_x3_alt_side,,gun,Side Gun,,-1,-1,,100,(custom),,Side Guns,"free, side, barbette",,"side, main_side, main_agamemnon, small_side",size(5),279,11,3,,,,,,,,,,,,,,,,,,-1,
gun_12_x2_alt_side,,gun,Side Gun,,-1,-1,,90,(custom),,Side Guns,"free, side, barbette",,"side, main_side, small_side",size(6.2),305,12,2,,,,,,,,,,,,,,,,,,-1,
gun_12_x3_alt_side,,gun,Side Gun,,-1,-1,,105,(custom),,Side Guns,"free, side, barbette",,"side, main_side, small_side",size(6.5),305,12,3,,,,,,,,,,,,,,,,,,-1,
