#id,,shell penetrates this mm of armor vertical (side) / horizontal (top) after hit from this range in km,,,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,caliberInch,vert_0,vert_1,vert_5,vert_10,vert_15,vert_20,vert_25,vert_30,vert_35,vert_40,vert_50,horiz_5,horiz_10,horiz_15,horiz_20,horiz_25,horiz_30,horiz_35,horiz_40,horiz_50,#comment,#,#,#,#,#,#,#,#
default,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thickness of effectively penetrated armor (in mm) at range (in km) for guns of last grade with basic shell,,,,,,,,
1,1,75,56,2,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,,,,,,,,,
2,2,174,128,36,18,0,0,0,0,0,0,0,2,8,9,0,0,0,0,0,0,,,,,,,,,
3,3,215,188,102,53,27,0,0,0,0,0,0,2,7,17,18,0,0,0,0,0,,,,,,,,,
4,4,302,258,126,66,32,2,0,0,0,0,0,3,11,23,24,0,0,0,0,0,,,,,,,,,
5,5,357,305,143,77,36,3,0,0,0,0,0,3,14,24,25,0,0,0,0,0,,,,,,,,,
6,6,435,413,336,254,191,147,117,66,0,0,0,4,11,15,31,45,47,0,0,0,,,,,,,,,
7,7,533,510,431,341,269,216,152,144,104,0,0,5,13,18,31,49,63,136,0,0,,,,,,,,,
8,8,618,596,501,398,314,251,186,168,122,0,0,6,14,20,35,56,70,75,0,0,,,,,,,,,
9,9,677,650,541,420,325,253,220,159,102,0,0,7,18,24,41,69,90,96,0,0,,,,,,,,,
10,10,752,727,615,479,373,292,255,184,118,35,2,8,20,27,44,79,106,114,124,132,,,,,,,,,
11,11,827,803,688,539,421,331,289,209,135,71,20,9,21,29,48,83,110,117,126,134,,,,,,,,,
12,12,902,879,762,599,469,370,323,234,151,64,21,10,22,30,50,86,106,131,132,151,,,,,,,,,
13,13,977,956,836,658,517,409,357,259,167,77,27,11,24,34,47,81,127,146,146,169,,,,,,,,,
14,14,1052,1032,909,718,565,448,392,284,184,90,33,11,25,37,48,73,126,164,179,192,,,,,,,,,
15,15,1128,1108,983,778,614,487,426,309,200,103,40,12,27,41,49,69,111,177,193,209,,,,,,,,,
16,16,1203,1185,1057,837,662,526,460,334,216,116,46,12,28,42,51,62,102,166,204,221,,,,,,,,,
17,17,1278,1261,1130,897,710,565,495,359,233,129,52,13,29,45,54,68,99,167,215,232,,,,,,,,,
18,18,1353,1337,1204,957,758,604,529,384,249,143,58,13,29,46,56,69,96,159,224,241,,,,,,,,,
19,19,1428,1414,1278,1017,806,643,563,409,265,156,64,13,30,47,58,70,95,150,230,243,,,,,,,,,
20,20,1503,1490,1351,1076,854,682,597,434,282,169,71,14,31,49,59,71,94,141,218,257,,,,,,,,,
21,21,1578,1566,1425,1136,902,721,632,459,298,182,77,24,31,50,61,72,94,134,216,260,,,,,,,,,
