@name,filename,skipChance,yearRange
predefinedDesigns_argentina,predefinedDesigns_argentina.bin,0,-1
predefinedDesigns_austria,predefinedDesigns_austria.bin,0,-1
predefinedDesigns_brazil,predefinedDesigns_brazil.bin,0,-1
predefinedDesigns_germany,predefinedDesigns_germany.bin,0,-1
predefinedDesigns_greece,predefinedDesigns_greece.bin,0,-1
predefinedDesigns_italy,predefinedDesigns_italy.bin,0,-1
predefinedDesigns_japan,predefinedDesigns_japan.bin,0,-1
predefinedDesigns_korea,predefinedDesigns_korea.bin,0,-1
predefinedDesigns_netherlands,predefinedDesigns_netherlands.bin,0,-1
predefinedDesigns_ottoman,predefinedDesigns_ottoman.bin,0,-1
predefinedDesigns_portugal,predefinedDesigns_portugal.bin,0,-1
predefinedDesigns_russia,predefinedDesigns_russia.bin,0,-1
predefinedDesigns_scandinavia,predefinedDesigns_scandinavia.bin,0,-1
predefinedDesigns_spain,predefinedDesigns_spain.bin,0,-1
predefinedDesigns_usa,predefinedDesigns_usa.bin,0,-1
predefinedDesigns_britain,predefinedDesigns_britain.bin,0,-1
predefinedDesigns_chile,predefinedDesigns_chile.bin,0,-1
predefinedDesigns_china,predefinedDesigns_china.bin,0,-1
predefinedDesigns_france,predefinedDesigns_france.bin,0,-1
predefinedDesigns_sweden,predefinedDesigns_sweden.bin,0,-1
predefinedDesigns_norway,predefinedDesigns_norway.bin,0,-1
predefinedDesigns_denmark,predefinedDesigns_denmark.bin,0,-1
predefinedDesigns_belgium,predefinedDesigns_belgium.bin,0,-1
