#id,enabled / disabled,name for ui,area id,who currently controls provice,,,,,,,original claim on province,is home province?,"type of province: home, country, colony (autogenerated)",position,position,url for google maps,economic development / value (0-10),port size (tonnage),population will be used for some military and economic calculations,,,,,,,,,The starting Defense Level of the province which will affect Naval Invasion Defense and Port Defense battles. When empty it is considered zero.,AI Nations that may trigger an attack mission on that province,Nations that may intervent to protect the province,If sea region is not properly supported the region may rebel according to this probability,Probability tha will be used for triggering the start of a battle,Minimum tonnage needed for supporting an attack to this province,If player attacks the province it may have a defending fleet autogenerated from this displacement value (Works only for neutral countries),comment,
@name,enabled,nameUi,area,controller,controller_1890,controller_1900,controller_1910,controller_1920,controller_1930,controller_1940,claim,isHome,type,latitude,longitude,#posLink,development,port,population,oilDiscoveryYear,oilDiscoveryBaseChance,oilCapacity,oilReservesInTurns,revoltChance,provinceArmyPercentage,ProvinceDefenderBonus,neighbour_provinces,#Naval_Defense_Level,#Enemies,#Protectors,#Rebellion_Chance,#Naval_Invasion_Chance,#Min_Naval_Invasion_Displacement,#AverageFleetStrength,#comment,#comment2
default,1,,,,,,,,,,,0,colony,-1000,-1000,,5,,,,,,,2.5,0.0125,2,,,,,,,,,,
afghanistan,,Afghanistan,arabian_sea,afghanistan,afghanistan,afghanistan,afghanistan,afghanistan,afghanistan,afghanistan,afghanistan,,country,33.309019,65.681725,Afghanistan,4,0,4550000,1930,4,550,250,45,0.006,6,"persia, pakistan, turkmenistan, kashmir, xinjiang, tajikistan, uzbekistan",,,,,,,,,
albania,,Albania,adriatic,albania,albania,albania,albania,albania,albania,albania,albania,,,41.027982,19.951121,Albania,3,2000,560000,1930,10,100,100,7,0.033,3,"northern_greece, central_balkans, montenegro, kosovo",,,,,,,,,
andaman_islands,,Andaman Islands,benghal_sea,india,india,india,india,india,india,india,india,,,9.636765,92.777694,Andaman Islands,0.5,5000,58000,,,,,,,,,,,,,,,,,
angola,,Angola,w_africa,angola,angola,angola,angola,angola,angola,angola,angola,,,-12.277069,17.128732,Angola,5,15000,4790000,1930,9,,120,7,0.0045,,"southwest_africa, northern_rhodesia, congo_free_state",,,,,,,,,
annam,,Annam,se_asia,north_vietnam,north_vietnam,north_vietnam,north_vietnam,north_vietnam,north_vietnam,north_vietnam,north_vietnam,,,14.54666,108.117507,Annam,7,26000,4620000,1925,2,300,200,,,,"cochinchina, cambodia, tonkin, laos",,,,,,,,,
arabia,,Arabia,persian_gulf,arabia,arabia,arabia,arabia,arabia,arabia,arabia,arabia,,country,23.711914,45.570778,Arabia,4.8,12000,4218000,1930,20,10000,2000,15,0.015,,"transjordania, iraq, kuwait, bahrain, qatar, trucial_states, oman, yemen, hejaz",,,,,,,,,
argentina,,Argentina,s_am_east,argentina,argentina,argentina,argentina,argentina,argentina,argentina,argentina,,country,-35.288094,-64.544586,Argentina,9,45000,4542000,1930,5,600,300,7,0.03,,"uruguay, paraguay, chile, south_brazil, bolivia",,,,,,,,,
armenia,,Armenia,b_sea,russia,russia,russia,russia,armenia,russia,russia,armenia,1,home,40.18045674,44.62623828,Armenia,2,90000,1450000,1930,1,110,100,7,,,"azerbaijan, eastern_turkey, georgia, persia",,,,,,,,,
austria,,Austria,adriatic,austria,austria,austria,austria,austria,austria,austria,austrianew,1,home,47.29421199,14.53276665,Austria,25.5,180000,9500000,,,,,7,0.05,3,"hungary, northeast_italy, switzerland, southern_germany, bohemia-moravia, galicia, slovenia",,,,,,,,,
azerbaijan,,Azerbaijan,b_sea,russia,russia,russia,russia,azerbaijan,russia,russia,azerbaijan,1,home,40.31794801,47.9641869,Azerbaijan,1.75,90000,1450000,1890,100,200,1000,7,,,"armenia, georgia, southern_russia, persia",,,,,,,,,
azores,,Azores,n_atlantic,azores,azores,azores,azores,azores,azores,azores,azores,,,38.42665,-27.57344,Azores,1,20000,260000,,,,,,,,,,,,,,,,,
bahrain,,Bahrain,persian_gulf,bahrain,bahrain,bahrain,bahrain,bahrain,bahrain,bahrain,bahrain,,,25.7533,50.542648,Bahrain,4,1000,70000,1925,5,1250,400,,,,arabia,,,,,,,,,
balearic_islands,,Balearic Islands,medit2,spain,spain,spain,spain,spain,spain,spain,spain,1,home,39.12057024,2.457932414,Balearic Islands,1,15000,255000,,,,,,,,,,,,,,,,,
bangladesh,,Bangladesh,benghal_sea,bangladesh,bangladesh,bangladesh,bangladesh,bangladesh,bangladesh,bangladesh,bangladesh,,,24.20295732,90.79178652,Bangladesh,4.5,80000,17500000,,,,,,,,"eastern_india, burma",,,,,,,,,
basutoland,,Basutoland,indian_west,lesotho,lesotho,lesotho,lesotho,lesotho,lesotho,lesotho,lesotho,,,-29.54968398,28.21505298,Basutoland,1.2,0,347500,,,,,15,0.005,,"south_africa, orange_free_state",,,,,,,,,
bechuanaland,,Bechuanaland,s_atlantic,botswana,botswana,botswana,botswana,botswana,botswana,botswana,botswana,,,-22.313577,23.868254,Bechuanaland,3.5,0,90000,,,,,,,,"southwest_africa, southern_rhodesia, south_africa, transvaal, northern_rhodesia",,,,,,,,,
belarus,,Belarus,b_sea,russia,russia,russia,russia,belarus,russia,russia,belarus,1,home,53.18951208,28.02758976,Belarus,8,0,7544020,1930,1,100,100,7,0.03,,"ukraine, eastern_poland, lithuania, latvia, central_russia",,,,,,,,,
belgium,,Belgium,n_sea,belgium,belgium,belgium,belgium,belgium,belgium,belgium,belgium,,country,50.76767627,4.428191106,Belgium,11,45000,6693500,,,,,,0.02,,"netherlands, western_germany, luxembourg, northern_france",,,,,,,,,
belize,,Belize,caribbean,belize,belize,belize,belize,belize,belize,belize,belize,,,17.066667,-88.7,Belize,1.6,15000,115000,,,,,7,,,"eastern_mexico, british_honduras",,,,,,,,,
bermuda,,Bermuda,n_am_east,bermuda,bermuda,bermuda,bermuda,bermuda,bermuda,bermuda,bermuda,,,32.315199,-64.743456,Bermuda,1.4,10000,20000,,,,,,,,,,,,,,,,,
bhutan,,Bhutan,benghal_sea,bhutan,bhutan,bhutan,bhutan,bhutan,bhutan,bhutan,bhutan,,country,27.315906,90.38824,Bhutan,1.5,0,280000,,,,,2,,6,"tibet, north-east_frontier, eastern_india",,,,,,,,,
bismarck_archipelago,,Bismarck Archipelago,oceania_north,bismarck_archipelago,bismarck_archipelago,bismarck_archipelago,bismarck_archipelago,bismarck_archipelago,bismarck_archipelago,bismarck_archipelago,bismarck_archipelago,,,-3.310277,151.758058,Bismarck Archipelago,3,25000,55000,,,,,,,,,,,,,,,,,
bohemia-moravia,,Bohemia-Moravia,adriatic,austria,austria,austria,austria,czechia,czechia,czechia,czechia,1,home,49.69880822,14.92443547,Bohemia-Moravia,10.5,180000,7400000,,,,,7,,3,"galicia, austria, southern_germany, eastern_germany, eastern_poland, poland",,,,,,,,,
bolivia,,Bolivia,s_am_west,bolivia,bolivia,bolivia,bolivia,bolivia,bolivia,bolivia,bolivia,,country,-17.022076,-64.295778,Bolivia,4,0,1766000,,,,,7,,,"peru, north_brazil, south_brazil, chile, argentina, paraguay",,,,,,,,,
borneo,,Borneo,indonesian_sea,borneo,borneo,borneo,borneo,borneo,borneo,borneo,borneo,,,-0.575572,114.444324,Borneo,5,2000,1909801,1930,5,900,500,,,,"sarawak, north_borneo",,,,,,,,,
bosnia_&_herzegovina,,Bosnia & Herzegovina,adriatic,austria,austria,austria,austria,austria,austria,austria,bosnia,1,home,44.19263081,17.73481001,Bosnia & Herzegovina,5,0,3150000,,,,,7,0.05,,"croatia, serbia, montenegro",,,,,,,,,
bosporus,,Bosporus,b_sea,ottoman,ottoman,ottoman,ottoman,ottoman,ottoman,ottoman,ottoman,,country,41.26259081,28.13979623,Bosporus,8,80000,1400000,,,,,,0.03,,"dardanelles, eastern_rumelia, northern_greece, northern_turkey, western_turkey",,,,,,,,,
