#id,enabled / disabled,list of ship types for building,"chance to have, percent",,,type of part,comes in paires (around centerline axis),"group, use same part data for same group",necessary present param of part,put at centerline,put to sides,range-z [-1;+1] define range from back to front of ship,see previos,filtering condition,"additional params:
            delete_unmounted - delete parts of type with no other parts mounted in it;
                scheme(s) - place part only on hulls with specific hulls;
mount(m...), !mount(m...) - demand/exclude types of mounts;
and/or - operation on list of conditions: tag (tag required), !tag (no tag), zero (tech variable is zero), !zero (tech variable is not zero);",,
@name,enabled,shipTypes,chance,min,max,type,paired,group,effect,center,side,rangeZFrom,rangeZTo,condition,param,#,#
default,1,,100,1,1,,,,,f,f,-1,1,,,,
#,,"#bb, bc",,,,,,,,,,,,,,,
5/tower_main///////,,"bb, bc",,1,1,tower_main,,,,,,0.01,1,,,,
6/tower_sec///////,,"bb, bc",,1,1,tower_sec,,,,,,-1,0.01,,,,
7/tower_main///////and(tag[barbette_need]),,"bb, bc",,1,1,tower_main,,,,,,0.01,1,,and(tag[barbette_need]),,
8/tower_main///////or(tag[Command_Forward]),,"bb, bc",,1,1,tower_main,,,,,,0.01,1,,or(tag[Command_Forward]),,
"9/tower_sec///////or(tag[Command_Forward]), or(tag[hullbarbette])",,"bb, bc",,1,1,tower_sec,,,,,,-1,0.01,,or(tag[Command_Forward])or(tag[hullbarbette]),,
10/gun//mc/main_center/c//main_cal/or(tag[newyork_style]),,"bb, bc",,2,4,gun,,mc,main_center,c,,-1,1,main_cal,or(tag[newyork_style]),,
11/funnel///funnel_mount////,,"bb, bc",,1,5,funnel,,,funnel_mount,,,-0.6,0.6,,,,
12/gun//mc/main_center/c//main_cal/and(tag[Russian_Central_Turrets]),,"bb, bc",,1,24,gun,,mc,main_center,c,,0.1,1,main_cal,and(tag[Russian_Central_Turrets]),,
13/barbette///main_super_huge/c///,,"bb, bc",,1,2,barbette,,,main_super_huge,c,,0.2,0.7,,,,
14/barbette//b/main_super/c///and(tag[barbette_need]),,"bb, bc",,1,2,barbette,,b,main_super_huge,c,,0.4,0.6,,and(tag[barbette_need]),,
"15/gun//mc/main_center/c//main_cal/mount(barbette), or(tag[hullbarbette];tag[barbette_need];tag[No_Barb])",,"bb, bc",,2,8,gun,,mc,main_center,c,,-1,1,main_cal,or(tag[hullbarbette];tag[barbette_need];tag[No_Barb]),,
"16/gun//mc/main_center/c//main_cal/mount(barbette), or(tag[hullbarbette];tag[barbette_need];tag[No_Barb])",,"bb, bc",,2,8,gun,,mc,main_center,c,,-1,1,main_cal,or(tag[hullbarbette];tag[barbette_need];tag[No_Barb]),,
"17/gun//mc/main_center/c//main_cal/mount(barbette), or(tag[hullbarbette];tag[barbette_need];tag[No_Barb])",,"bb, bc",,2,8,gun,,mc,main_center,c,,-1,1,main_cal,or(tag[hullbarbette];tag[barbette_need];tag[No_Barb]),,
1003/tower_main///////or(tag[hullbarbette]),,"bb, bc",,1,1,tower_main,,,,,,0.01,0.5,,or(tag[hullbarbette]),,
1004/funnel///////or(tag[hullbarbette]),,"bb, bc",,1,1,funnel,,,,,,-0.1,0.1,,or(tag[hullbarbette]),,
1005/tower_sec///////or(tag[hullbarbette]),,"bb, bc",,1,1,tower_sec,,,,,,-0.3,0.01,,or(tag[hullbarbette]),,
"18/gun//mc/main_center/c//main_cal/mount(barbette), or(tag[hullbarbette])",,"bb, bc",,1,5,gun,,mc,main_center,c,,-1,1,main_cal,"mount(barbette), or(tag[hullbarbette])",,
19/gun//mc/main_center/c//main_cal/or(tag[hullbarbette]),,"bb, bc",,1,5,gun,,mc,main_center,c,,0.5,0.6,main_cal,or(tag[hullbarbette]),,
20/gun//mc/main_center/c//main_cal/or(tag[hullbarbette]),,"bb, bc",,1,5,gun,,mc,main_center,c,,-0.6,-0.5,main_cal,or(tag[hullbarbette]),,
"21/gun//mc/main_center/c//main_cal/mount(barbette), or(tag[newyork_style])",,"bb, bc",,2,5,gun,,mc,main_center,c,,-1,1,main_cal,"mount(barbette), or(tag[newyork_style])",,
22/tower_main///////or(tag[newyork_style]),,"bb, bc",,1,1,tower_main,,,,,,0.01,0.8,,or(tag[newyork_style]),,
23/barbette///main_super/c///or(tag[newyork_style]),,"bb, bc",,1,1,barbette,,,main_super,c,,-0.7,0.8,,or(tag[newyork_style]),,
24/gun//mc/main_center/c//main_cal/or(tag[newyork_style]),,"bb, bc",,1,5,gun,,mc,main_center,c,,-0.9,-0.1,main_cal,or(tag[newyork_style]),,
25/tower_sec///////or(tag[newyork_style]),,"bb, bc",,1,1,tower_sec,,,,,,-0.3,0.01,,or(tag[newyork_style]),,
26/funnel///////or(tag[newyork_style]),,"bb, bc",,1,2,funnel,,,,,,-0.1,0.1,,or(tag[newyork_style]),,
27/gun//mc/main_center/c//main_cal/and(tag[newyork_style]),,"bb, bc",,2,2,gun,,mc,main_center,c,,-1,1,main_cal,and(tag[newyork_style]),,
"28/gun//mc/main_center/c//main_cal/mount(barbette), and(tag[newyork_style])",,"bb, bc",,1,5,gun,,mc,main_center,c,,-1,1,main_cal,"mount(barbette), and(tag[newyork_style])",,
