#HalfBakedOne Ship Names List       Version 1.00        Feb 22 2026         DIP EXTENDED,,,,,,,,,,
#Huge shoutout to Discord user MDHansen for their help debugging this file!,,,,,,,,,,
#id,enabled / disabled,"ship's ui name ($ - class, % - number, & - year)",country name,ship's type name,use this name till year,,,,,
@name,enabled,nameUi,country,shipType,tillYear,#suggested,#problems,#infoLink,#textBackup,#nameBackup
default,1,,,,-1,,,,,
##,,,country/type,bb,bc,ca,cl,dd,tb,ss
##,,,austria,47,39,44,47,22,29,1
##,,,britain,90,50,65,200,508,119,23
##,,,france,59,41,68,67,125,47,191
##,,,germany,57,36,43,53,1,1,1
##,,,italy,147,53,64,77,76,47,189
##,,,japan,82,47,58,60,195,46,1
##,,,russia,63,36,45,51,151,48,64
##,,,spain,181,149,64,101,124,88,5
##,,,usa,53,45,53,97,755,202,15
##,,,china,115,115,44,89,110,1,1
##,,,scandinavia,,,,,,,
##,,,australia,,,,,,,
##,,,netherlands,,,,,,,
##,,,ottoman,,,,,,,
##,,,brazil,,,,,,,
##,,,mexico,,,,,,,
##,,,canada,,,,,,,
##,,,greece,,,,,,,
##,,,,,,,,,,
###,,,special,,,,,,,
1,,$ D-%,austria,dd,,name / number,"wrong, same name as TB (T-%)?, as use names in list from list, until run out of names",https://en.wikipedia.org/wiki/Category:World_War_I_torpedo_boats_of_Austria-Hungary,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
2,,$ T-%,austria,tb,,name / number,"wrong, use names from list, until run out of names, or some have numbers",https://en.wikipedia.org/wiki/List_of_ships_of_the_Austro-Hungarian_Navy,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
3,,U-%,austria,ss,,number / number,"good: U-2 (U2- U-3 U-4), U-5 (U5 U-6 U-7) mixure",https://en.wikipedia.org/wiki/List_of_Austro-Hungarian_U-boats,"No name, just prefix. Example: ""U-10"".",U-%
4,0,names,britain,dd,,names,dd: ok,https://en.wikipedia.org/wiki/List_of_destroyer_classes_of_the_Royal_Navy,,
5,0,names,britain,tb,,names,tb: wrong?,https://en.wikipedia.org/wiki/List_of_torpedo_boat_classes_of_the_Royal_Navy,,
6,,$ E-%,britain,ss,,letter / letter+number,ss wrong (different letters for class),https://en.wikipedia.org/wiki/List_of_submarine_classes_of_the_Royal_Navy,"No name, just prefix. Example: E-10"".",E-%
7,0,names $ D-%,france,dd,,names,"wrong, use names?",https://en.wikipedia.org/wiki/List_of_destroyers_of_France,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
8,,$ T-%,france,tb,,name / number,no info?,?,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
9,,Q-%,france,ss,,names,"wrong, use names, plus (Q%) postfix",https://en.wikipedia.org/wiki/List_of_submarines_of_France,"Design gets a random name. All subordinate ships receive Q-# nbr. Example: ""NAME Q-10"".",$ Q-%
10,,V-%,germany,dd,,letter / letter+number,"wrong, varius prefix, plus restarting number",https://en.wikipedia.org/wiki/German_ocean-going_torpedo_boats_and_destroyers_of_World_War_I,"No name, just prefix. Example: ""Z10"".",Z-%
11,,S-%,germany,tb,,letter / letter+number,"wrong, different prefixes",https://en.wikipedia.org/wiki/German_ocean-going_torpedo_boats_and_destroyers_of_World_War_I,"Design gets name ""Type-#Year"". All subordinate ships receive T-# nbr. Example: ""Type-1928 T10"".",Type-& T-%
12,,U-%,germany,ss,,number / number,"ok global number, as austria-ss",https://en.wikipedia.org/wiki/List_of_U-boats_of_Germany,"No name, just prefix. Example: ""U-10"".",U-%
13,0,names,italy,dd,,names,dd: ok (names),https://en.wikipedia.org/wiki/List_of_destroyers_of_Italy,,
14,0,names $ TA-%,italy,tb,,names,tb: few info,?,"Design gets a random name. All subordinate ships receive TA-# nbr. Example: ""NAME TA-10"".",$ TA-%
15,, T-%,italy,ss,,,ss: few info,https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_Italy,"Design gets a random name. All subordinate ships receive F-# nbr. Example: ""NAME F-10"".",$ T-%
16,0,names,japan,dd,,names,,,,
17,0,names,japan,tb,,names,,,,
18,0,disabled Ha-%,japan,ss,1910,number / number,"wrong, dont have class prefix",https://en.wikipedia.org/wiki/Submarines_of_the_Imperial_Japanese_Navy,"Design gets a random name. All subordinate ships receive Ha-# nbr. Example: ""NAME Ha-10"".",$ Ha-%
19,0,disabled Ro-%,japan,ss,1925,number / number,"wrong, dont have class prefix",https://en.wikipedia.org/wiki/Submarines_of_the_Imperial_Japanese_Navy,"Design gets a random name. All subordinate ships receive Ro-# nbr. Example: ""NAME Ro-10"".",$ Ro-%
20,,I-%,japan,ss,,number / number,"wrong, dont have class prefix",https://en.wikipedia.org/wiki/Submarines_of_the_Imperial_Japanese_Navy,"Design gets a random name. All subordinate ships receive I-# nbr. Example: ""NAME I-10"".",$ I-%
21,0,names,russia,dd,,names,names/number contradiction,https://en.wikipedia.org/wiki/List_of_destroyers_of_the_Imperial_Russian_Navy,,
22,0,names $ TK-%,russia,tb,,names,names/number contradiction,https://en.wikipedia.org/wiki/List_of_destroyers_of_the_Imperial_Russian_Navy,"Design gets a random name. All subordinate ships receive ΤK-# nbr. Example: ""NAME TK-10"".",$ TK-%
23,0,names $ M-%,russia,ss,1905,names,names/number contradiction,https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_Russia,"Design gets a random name. All subordinate ships receive M-# nbr. Example: ""NAME M-10"".",$ M-%
24,0,names $ S-%,russia,ss,1920,names,names/number contradiction,https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_Russia,"Design gets a random name. All subordinate ships receive S-# nbr. Example: ""NAME S-10"".",$ S-%
25,,Π-%,russia,ss,,names,names/number contradiction,https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_Russia,"Design gets a random name. All subordinate ships receive B-# nbr. Example: ""NAME B-10"".",$ Π-%
26,0,names $ D-%,spain,dd,,names,"wrong: contradiction, use names?",https://en.wikipedia.org/wiki/List_of_retired_Spanish_Navy_ships#Destroyers,"Design gets a random name. All subordinate ships receive D-# nbr. Example: ""NAME D-10"".",$ D-%
27,0,names $ T-%,spain,tb,,names,"names for class, number for fleet ship?",https://en.wikipedia.org/wiki/List_of_retired_Spanish_Navy_ships#Torpedo_boats,"Design gets a random name. All subordinate ships receive Τ-# nbr. Example: ""NAME T-10"".",$ T-%
28,,S-%,spain,ss,,letter / letter+number,,,,$ S-%
29,0,A-%,spain,ss,1905,unused,"wrong, A/B/C is class name",https://en.wikipedia.org/wiki/List_of_submarines_of_the_Spanish_Navy,"No name, just prefix. Example: A-10"".",A-%
30,0,B-%,spain,ss,1920,unused,"wrong, A/B/C is class name",https://en.wikipedia.org/wiki/List_of_submarines_of_the_Spanish_Navy,"No name, just prefix. Example: ""B-10"".",B-%
31,0,C-%,spain,ss,,unused,"wrong, A/B/C is class name",https://en.wikipedia.org/wiki/List_of_submarines_of_the_Spanish_Navy,"No name, just prefix.  Example: C-10"".",C-%
32,0,names,usa,dd,,names,"dd: wrong, name for class, name+(DD-N) for fleet;",https://en.wikipedia.org/wiki/Category:World_War_I_destroyers_of_the_United_States,,
33,0,names $ TB-%,usa,tb,,names,"tb: wrong, name for class, name+(TB-N) for fleet",https://en.wikipedia.org/wiki/List_of_torpedo_boats_of_the_United_States_Navy,"Design gets a random name. All subordinate ships receive ΤΒ-# nbr. Example: ""NAME TB-10"".",$ TB-%
34,,SS-%,usa,ss,,letter / letter+number,"wrong, class name is letter, fleet name is X-N (local) (SS-N (global))",https://en.wikipedia.org/wiki/Category:World_War_I_submarines_of_the_United_States,"Design gets a random name. All subordinate ships receive SS-# nbr. Example: ""NAME SS-10"".",$ SS-%
##35,,Y-%,china,tb,,,,,,$ Y-%
36,,Ch-%,china,ss,,,,,,$ Ch-%
##,,,###,,,,,,,
38,,Monarch,austria,bb,,,,,,
39,,Wien,austria,bb,,,,,,
40,,Budapest,austria,bb,,,,,,
41,,Kronprinzessin Erzherzogin Stephanie,austria,bb,,,,,,
42,,Kronprinz Erzherzog Rudolf,austria,bb,,,,,,
43,,Habsburg,austria,bb,,,,,,
44,,Árpád,austria,bb,,,,,,
45,,Babenberg,austria,bb,,,,,,
46,,Erzherzog Karl,austria,bb,,,,,,
47,,Erzherzog Friedrich,austria,bb,,,,,,
48,,Erzherzog Ferdinand Max,austria,bb,,,,,,
49,,Erzherzog Franz Ferdinand,austria,bb,,,,,,
50,,Radetzky,austria,bb,,,,,,
51,,Zrínyi,austria,bb,,,,,,
52,,Viribus Unitis,austria,bb,,,,,,
53,,Tegetthoff,austria,bb,,,,,,
54,,Prinz Eugen,austria,bb,,,,,,
55,,Szent István,austria,bb,,,,,,
56,,Monarch,austria,bb,,,,,,
57,,Luitpold,austria,bb,,,,,,
58,,Heinrich,austria,bb,,,,,,
59,,Adalbert,austria,bb,,,,,,
60,,Ernst,austria,bb,,,,,,
61,,Richardis,austria,bb,,,,,,
62,,Würzburg,austria,bb,,,,,,
63,,Niederalteich,austria,bb,,,,,,
64,,Bohemia,austria,bb,,,,,,
65,,Süpplingenburg,austria,bb,,,,,,
66,,Siegreiche,austria,bb,,,,,,
67,,Starke,austria,bb,,,,,,
68,,Erlauchte,austria,bb,,,,,,
69,,Schöne,austria,bb,,,,,,
70,,Heilige,austria,bb,,,,,,
71,,Freigiebige,austria,bb,,,,,,
72,,Jasomirgott,austria,bb,,,,,,
73,,Tugendhafte,austria,bb,,,,,,
74,,Glorreiche,austria,bb,,,,,,
75,,Streitbare,austria,bb,,,,,,
76,,Rudolf,austria,bb,,,,,,
77,,Albert,austria,bb,,,,,,
78,,Frederick,austria,bb,,,,,,
79,,Otto,austria,bb,,,,,,
80,,Ladislaus,austria,bb,,,,,,
81,,Sigismund,austria,bb,,,,,,
82,,Maximilian,austria,bb,,,,,,
83,,Francis,austria,bb,,,,,,
84,,Karl,austria,bb,,,,,,
85,,Drache,austria,bc,,,,,,
86,,Salamander,austria,bc,,,,,,
87,,Kaiser Max,austria,bc,,,,,,
88,,Juan de Austria,austria,bc,,,,,,
89,,Erzherzog Ferdinand Max,austria,bc,,,,,,
90,,Lissa,austria,bc,,,,,,
91,,Kaiser,austria,bc,,,,,,
92,,Custoza,austria,bc,,,,,,
93,,Erzherzog Albrecht,austria,bc,,,,,,
94,,Kronprinz Erzherzog Rudolf,austria,bc,,,,,,
95,,Kronprinzessin Erzherzogin Stephanie,austria,bc,,,,,,
96,,Jupiter,austria,bc,,,,,,
97,,Gorzkowski,austria,bc,,,,,,
98,,Messagiere,austria,bc,,,,,,
99,,Achilles,austria,bc,,,,,,
100,,Taurus,austria,bc,,,,,,
101,,Vulcan,austria,bc,,,,,,
102,,Santa Lucia,austria,bc,,,,,,
103,,Volta,austria,bc,,,,,,
104,,Kaiserin Elisabeth,austria,bc,,,,,,
105,,Adria,austria,bc,,,,,,
106,,Donau,austria,bc,,,,,,
107,,Novara,austria,bc,,,,,,
108,,Schwarzenberg,austria,bc,,,,,,
109,,Laudon,austria,bc,,,,,,
110,,Erzherzog Friedrich,austria,bc,,,,,,
111,,Dandolo,austria,bc,,,,,,
112,,Saida,austria,bc,,,,,,
113,,Minerva,austria,bc,,,,,,
114,,Pylades,austria,bc,,,,,,
115,,Pola,austria,bc,,,,,,
116,,Montecuccoli,austria,bc,,,,,,
117,,Hussar,austria,bc,,,,,,
118,,Arthemisia,austria,bc,,,,,,
119,,Arethusa,austria,bc,,,,,,
120,,Dromedar,austria,bc,,,,,,
121,,Bravo,austria,bc,,,,,,
122,,Fido,austria,bc,,,,,,
123,,Camaeleon,austria,bc,,,,,,
124,,Zara,austria,ca,,,,,,
125,,Spalato,austria,ca,,,,,,
126,,Sebenico,austria,ca,,,,,,
127,,Lussin,austria,ca,,,,,,
128,,Panther,austria,ca,,,,,,
129,,Leopard,austria,ca,,,,,,
130,,Tiger,austria,ca,,,,,,
131,,Kaiser Franz Joseph I,austria,ca,,,,,,
132,,Kaiserin Elisabeth,austria,ca,,,,,,
133,,Kaiserin und Königin Maria Theresia,austria,ca,,,,,,
134,,Kaiser Karl VI,austria,ca,,,,,,
135,,Sankt Georg,austria,ca,,,,,,
136,,Helgoland,austria,ca,,,,,,
137,,Budapest,austria,ca,,,,,,
138,,Debrecen,austria,ca,,,,,,
139,,Tyrol,austria,ca,,,,,,
140,,Styria,austria,ca,,,,,,
141,,Vorarlberg,austria,ca,,,,,,
142,,Carinthia,austria,ca,,,,,,
143,,Szeged,austria,ca,,,,,,
144,,Miskolc,austria,ca,,,,,,
145,,Graz,austria,ca,,,,,,
146,,Linz,austria,ca,,,,,,
147,,Salzburg,austria,ca,,,,,,
148,,Innsbruck,austria,ca,,,,,,
149,,Klagenfurt,austria,ca,,,,,,
150,,Villach,austria,ca,,,,,,
151,,Wels,austria,ca,,,,,,
152,,Sankt Pölten,austria,ca,,,,,,
153,,Dornbirn,austria,ca,,,,,,
154,,Wiener Neustadt,austria,ca,,,,,,
155,,Steyr,austria,ca,,,,,,
156,,Feldkirch,austria,ca,,,,,,
157,,Bregenz,austria,ca,,,,,,
158,,Leonding,austria,ca,,,,,,
159,,Klosterneuburg,austria,ca,,,,,,
160,,Wolfsberg,austria,ca,,,,,,
161,,Leoben,austria,ca,,,,,,
162,,Krems,austria,ca,,,,,,
163,,Traun,austria,ca,,,,,,
164,,Amstetten,austria,ca,,,,,,
165,,Lustenau,austria,ca,,,,,,
166,,Kapfenberg,austria,ca,,,,,,
167,,Mödling,austria,ca,,,,,,
168,,Zenta,austria,cl,,,,,,
169,,Aspern,austria,cl,,,,,,
170,,Szigetvár,austria,cl,,,,,,
171,,Admiral Spaun,austria,cl,,,,,,
172,,Pola,austria,cl,,,,,,
173,,Teodo,austria,cl,,,,,,
174,,Meteor,austria,cl,,,,,,
175,,Blitz,austria,cl,,,,,,
176,,Komet,austria,cl,,,,,,
177,,Planet,austria,cl,,,,,,
178,,Trabant,austria,cl,,,,,,
179,,Satellit,austria,cl,,,,,,
180,,Magnet,austria,cl,,,,,,
181,,Fogas,austria,cl,,,,,,
182,,Wels,austria,cl,,,,,,
183,,Stöhr,austria,cl,,,,,,
184,,Fasana,austria,cl,,,,,,
185,,Gamma,austria,cl,,,,,,
186,,Zrínyi,austria,cl,,,,,,
187,,Aurora,austria,cl,,,,,,
188,,Frundsberg,austria,cl,,,,,,
189,,Maros,austria,cl,,,,,,
190,,Leitha,austria,cl,,,,,,
191,,Körös,austria,cl,,,,,,
192,,Szamos,austria,cl,,,,,,
193,,Temes,austria,cl,,,,,,
194,,Bodrog,austria,cl,,,,,,
195,,Enns,austria,cl,,,,,,
196,,Sava,austria,cl,,,,,,
197,,Bosna,austria,cl,,,,,,
198,,Hallein,austria,cl,,,,,,
199,,Kufstein,austria,cl,,,,,,
200,,Traiskirchen,austria,cl,,,,,,
201,,Schwechat,austria,cl,,,,,,
202,,Stockerau,austria,cl,,,,,,
203,,Saalfelden,austria,cl,,,,,,
204,,Ansfelden,austria,cl,,,,,,
205,,Tulln,austria,cl,,,,,,
206,,Hohenems,austria,cl,,,,,,
207,,Ternitz,austria,cl,,,,,,
208,,Bludenz,austria,cl,,,,,,
209,,Korneuburg,austria,cl,,,,,,
210,,Vöcklabruck,austria,cl,,,,,,
211,,Bad Vöslau,austria,cl,,,,,,
212,,Götzis,austria,cl,,,,,,
213,,Sankt Johann,austria,cl,,,,,,
214,,Sankt Andrä,austria,cl,,,,,,
215,,Csikos,austria,dd,,,,,,
216,,Dinara,austria,dd,,,,,,
