#id,"full human-readable ship's type, like ""Battleship""",similar classes (for names picks etc),relative power for various estimations,armor in mm,minimum belt armor (other armors zones can be zero) (-1 mean no limit),maximum belt armor (limits other zone too) (-1 mean no limit),speed min (estimation),speed limit (estimation),for ai fleet building: how large is part of this type in fleet?,"starting tonnage limit, before affect of techs, 0: can not build, -1: unlimited",optimal distance for shooting at enemy (ratio of max distance),controlled by ai always,hp = ... (see engine calculator),see before,see before,engine weight multiplier,main caliber range,seep prev,seconary caliber range,see prev,,,,stats requirements,additional params,,
random_tonnage - during generation of random ship, set random tonnage, not close to maximal;,,,,,,,,,,,,,,,,,,,,,,,,,
random_tonnage_low - same, but generate more often in lower half of tonnage range;,,,,,,,,,,,,,,,,,,,,,,,,,,
flee - always retreats;,,,,,,,,,,,,,,,,,,,,,,,,,,,
range_min - hint for auto-builder for lower range limit;,,,,,,,,,,,,,,,,,,,,,,,,,,,
avoid_barrels - un-prioritize any of this amount of barrels;,,,,,,,,,,,,,,,,,,,,,,,,,,,
armor_min_hint - keep armor above this mult of max;,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_speed - randomize speed, in range;,,,,,,,,,,,,,,,,,,,,,,,,,,
random_range - randomize operational range;,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_surv - randomize survivability;,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun_damage - percent modifier to received gun damage;,,,,,,,,,,,,,,,,,,,,,,,,,,,
torpedo_damage - percent modifier to received torpedo damage;,,,,,,,,,,,,,,,,,,,,,,,,,,,
"smoke - can launch smoke screen;""",,,,,,,,,,,,,,,,,,,,,,,,,,,
@name,nameFull,similar,power,armor,armorMin,armorMax,speedMin,speedMax,buildRatio,tonnageStartingLimit,optimalEnemyDistance,aiControl,shapeExpTonnage,shapeExpSpeed,shapeMult,engineWeightMod,mainFrom,mainTo,secFrom,secTo,power_projection,raidingPower,escortPower,requirements,param,#comment,#comment
default,,,0,15,0.01,13,25,38,1,-1,1,,4,3,0.00004,1.00E-13,0,0,0,0,10,1,1,,,,
xx,Custom,,0,15,0.01,13,25,38,1,-1,1,,4,3,0.00004,1.00E-13,,,,,10,1,1,,no_build,1.6,1.44
bb,Battleship,"bc, ca",252000000,11,9,20,15,36,10,-1,0.999,,1.101,2.503,0.000216,1.6,9,20,2,8,35,0.75,1.25,"tower_main(1;1), tower_sec(1;1), funnel(1), gun_main(1)","avoid_barrels(1), armor_min_hint(1.55), gun_damage(-92.5), max_range(12000), range_min_modifier(0.5), surv_min(High), speedMultByGen_max(1), speedMultByGen_min(0.9), speedMultByGen_rand(0.03)",1.06,0.954
bc,Battlecruiser,"bb, ca",179125000,6.5,4,14,23,40,5,-1,0.999,,1.091,2.406,0.000273,1.5,9,20,2,8,35,1.5,1.25,"tower_main(1;1), tower_sec(1;1), funnel(1), gun_main(1)","avoid_barrels(1), armor_min_hint(3), range_min(Medium), gun_damage(-92.5), max_range(12000), range_min_modifier(0.5), surv_min(Medium), speedMultByGen_max(1), speedMultByGen_min(0.9), speedMultByGen_rand(0.03)",0.95,0.8265
ca,Heavy Cruiser,"bb, bc, cl",33825000,6,4,10,15.5,40,23,4000,0.999,,1.078,2.294,0.000979,1.4,6,12,2,5,33,2,1.1,"tower_main(1;1), tower_sec(1;1), funnel(1), gun_main(1)","avoid_barrels(1), armor_min_hint(2), range_min(low), gun_damage(-92.5), max_range(11000), range_min_modifier(0.5), , surv_min(Medium), speedMultByGen_max(1), speedMultByGen_min(0.9), speedMultByGen_rand(0.03)",0.95,0.855
