name,technology type,"image for ui, if any",name for ui,historical year,"max year randomization, plus-minus",difficulty of reseach modifier,effect: please see table TechEffects,,effect to add,effect description,old effect description,,comment
@name,type,#image,nameUi,year,yearRand,difficulty,effect,component,#todo,desc,#descOld,#desc3?,#comment
default,,,,-1,0,25,,,,,,,
start,special,,$technology_name_start,,,,start,,,,,,"special starting tech, all players have it researched"
# $techType_name_engine_engine,engine_engine,,,,,,,,,,,,
engine_engine_1,engine_engine,,$technology_name_engine_engine_1,1890,,144,"start, hp(24), fuel(10), stat(smoke;50), engine_vibrations(-40), cruising_speed(50), maintenance_tech(-10)",main_engine_1,,$technology_desc_engine_engine_1,The steam engine propulsion uses technology concepts of the 19th century.,,
engine_engine_1_1,engine_engine,,$technology_name_engine_engine_1_1,1890,,144,"start, hp(25), fuel(10), engine_c(-50), engine(2.5), stat(smoke;60), engine_vibrations(-40), cruising_speed(55)",main_engine_1_1,,$technology_desc_engine_engine_1_1,The steam engine propulsion uses technology concepts of the 19th century.,,
engine_engine_2,engine_engine,,$technology_name_engine_engine_2,1895,1,144,"hp(26), fuel(10), stat(fcap;5), engine_c(-60), engine(3.5), engine_d(7.5), stat(smoke;60), engine_vibrations(-35), fuel_eff(10), cruising_speed(55), cost(hull;-3.5), maintenance_tech(5)",main_engine_2,,$technology_desc_engine_engine_2,"Α compound engine that expands the steam in three stages produces more power in less weight. *Engine weight -2%, Engine efficiency +1, Replaces Steam Compound Engine, Reduces chance of engine damage -5%* ",,
engine_engine_3,engine_engine,,$technology_name_engine_engine_3,1900,1,144,"hp(28), engine_c(-120), fuel(15), stat(fcap;10), engine(4.5), engine_d(25), stat(smoke;70), engine_vibrations(-30), fuel_eff(15), cruising_speed(59), cost(hull;-5.5), maintenance_tech(10)",main_engine_3,,$technology_desc_engine_engine_3,"An evolution to the older triple expansion steam engine which boosts performance. *Engine weight -2%, Engine efficiency +1, Replaces Triple expansion steam engine, Reduces chance of engine damage -5%*",,
engine_engine_4,engine_engine,,$technology_name_engine_engine_4,1905,1,144,"hp(30), fuel(22.5), stat(fcap;15) engine(5), engine_c(-335), engine_d(25), stat(smoke;55), engine_vibrations(-25), fuel_eff(20), cruising_speed(62.5), cost(hull;-7.5), maintenance_tech(25)",main_engine_3_adv,,$technology_desc_engine_engine_4,"An evolution to the older triple expansion steam engine which boosts performance. *Engine weight -2%, Engine efficiency +1, Replaces Triple expansion steam engine, Reduces chance of engine damage -5%*",,
engine_engine_5,engine_engine,,$technology_name_engine_engine_5,1907,1,144,"hp(70), engine(20), fuel(1), stat(fcap;45), accel(50), engine_c(-2500), engine_d(35), module_repair_engine(30), stat(smoke;25), engine_vibrations(15), fuel_eff(15), cruising_speed(52.5), cost(hull;-12), maintenance_tech(-10)",main_engine_4,,$technology_desc_engine_engine_5,"The revolutionary steam turbine mechanism makes older reciprocating engines obsolete. *Engine weight -2%, Engine efficiency +4, Replaces Multiple expansion steam engine, Reduces chance of engine damage -5%*",,
engine_engine_6,engine_engine,,$technology_name_engine_engine_6,1916,1,144,"hp(100), engine(10), accel(60), fuel(2), stat(fcap;50), engine_c(-5000), engine_d(40), module_repair_engine(45), stat(smoke;20), engine_vibrations(20), fuel_eff(20), cruising_speed(55), cost(hull;-15), maintenance_tech(-15)",main_engine_5,,$technology_desc_engine_engine_6,"Reduction gears offer high engine power and torque at lower rpm and reduce chances of malfunctioning. ""Engine weight -2%, Engine efficiency +1, Reduces chance of engine damage -5%""",,
engine_engine_7,engine_engine,,$technology_name_engine_engine_7,1922,1,144,"hp(90), engine(25), stat(fcap;65), accel(200), decel(75), engine_c(-10000), engine_d(60), module_repair_engine(-50), module_repair(10), engine_r(10), pump(10), gun_rotation(10), turning(10), turning_change(12.5), stat(smoke;-60), engine_vibrations(60), flaws(-10), fuel_eff(20), cruising_speed(72.5), cost(hull;-17.5), maintenance_tech(20)",main_engine_turbo,,$technology_desc_engine_engine_7,"Reduction gears offer high engine power and torque at lower rpm and reduce chances of malfunctioning. ""Engine weight -2%, Engine efficiency +1, Reduces chance of engine damage -5%""",,
engine_engine_8,engine_engine,,$technology_name_engine_engine_8,1927,1,144,"hp(135), engine(5), fuel(5), stat(fcap;55), accel(65), engine_c(-7500), engine_d(45), module_repair_engine(60), stat(smoke;15), engine_vibrations(25), flaws(-5), fuel_eff(25), cruising_speed(60), cost(hull;-20), maintenance_tech(-5)",main_engine_6,,$technology_desc_engine_engine_8,"Double reduction gears can now be used on Steam Turbines, increasing further their performance and reliability. ""Engine weight -2%, Engine efficiency +1, Reduces chance of engine damage -5%""",,
engine_engine_9,engine_engine,,$technology_name_engine_engine_9,1931,1,144,"hp(50), fuel(15), engine(17.5), engine_c(-8000), engine_d(75), module_repair_engine(120), stat(fcap;100), boiler(100), accel(-25), stat(smoke;-25), engine_vibrations(-15), flaws(-5), fuel_eff(35), cruising_speed(80), cost(hull;-22.5), maintenance_tech(25)",main_engine_7,,$technology_desc_engine_engine_9,,,
engine_engine_8_2,engine_engine,,$technology_name_engine_engine_8_2,1934,1,144,"hp(150), engine(7.5), fuel(7.5), stat(fcap;90), accel(40), engine_c(-9000), engine_d(50), module_repair_engine(75), stat(smoke;20), engine_vibrations(20), flaws(-10), fuel_eff(30), cruising_speed(70), cost(hull;-24), maintenance_tech(-5), boiler(30)",main_engine_6_2,,$technology_desc_engine_engine_8_2,,,
engine_engine_10,engine_engine,,$technology_name_engine_engine_10,1937,1,144,"hp(60), fuel(20), engine(22.5), engine_c(-7000), engine_d(85), module_repair_engine(175), stat(fcap;120), boiler(100), accel(-17.5), stat(smoke;-35), engine_vibrations(-10), flaws(-5), fuel_eff(45), cruising_speed(80), cost(hull;-25), maintenance_tech(30)",main_engine_8,,$technology_desc_engine_engine_10,,,
engine_engine_8_1,engine_engine,,$technology_name_engine_engine_8_1,1941,1,144,"hp(105), engine(30), fuel(10), stat(fcap;75), accel(240), decel(130), engine_c(-14250), engine_d(65), module_repair_engine(-60), module_repair(15), engine_r(15), pump(15), gun_rotation(15), turning(15), turning_change(20), stat(smoke;-65), engine_vibrations(70), flaws(-15), fuel_eff(25), cruising_speed(75), cost(hull;-18.5), maintenance_tech(25)",main_engine_6_1,,$technology_desc_engine_engine_8_1,,,
engine_engine_11,engine_engine,,$component_name_short_main_engine_9,1951,1,144,"hp(210), engine(13.5), accel(45), decel(10), stat(fcap;120), engine_c(-12500), engine_d(35), module_repair_engine(40), fuel(5), boiler(100), stat(smoke;-40), engine_vibrations(40), flaws(-10), cruising_speed(85), cost(hull;-27.5), maintenance_tech(12.5)",main_engine_9,,$technology_desc_engine_engine_11,,,
engine_engine_10_1,engine_engine,,$technology_name_engine_engine_10_1,1955,1,144,"hp(90), fuel(20), engine(35), engine_c(-21500), engine_d(50), module_repair_engine(-65), stat(fcap;100), boiler(100), accel(115), decel(50), module_repair(12.5), engine_r(12.5), pump(12.5), gun_rotation(12.5), turning(12.5), turning_change(15), stat(smoke;-55), engine_vibrations(75), flaws(-22.5), fuel_eff(52.5), cruising_speed(95), cost(hull;-30), maintenance_tech(10)",main_engine_8_1,,$technology_desc_engine_engine_10_1,,,
engine_engine_12,engine_engine,,$technology_name_engine_engine_12,1960,1,144,"hp(240), engine(15), accel(65), decel(35), stat(fcap;150), engine_c(-14500), engine_d(45), module_repair_engine(55), fuel(10), boiler(100), stat(smoke;-55), engine_vibrations(50), flaws(-20), fuel_eff(50), cruising_speed(85), cost(hull;-30), maintenance_tech(20)",main_engine_10,,$technology_desc_engine_engine_12,,,
engine_engine_end,engine_engine,,$technology_name_engine_engine_end,1965,1,288,"end, hp(2), fuel(0.25), engine_c(-10), engine_d(2.5), module_repair_engine(2.5), stat(smoke;-1), engine_vibrations(0.5), fuel_eff(1), maintenance_tech(-0.2)",,,$technology_desc_engine_engine_end,,,
# $compTypes_name_short_boilers,engine_boiler,,,,,,,,,,,,
engine_boiler_1,engine_boiler,,$technology_name_engine_boiler_1,1890,,36,"start, fuel(-15), hull(-2), stat(fcap;-35), detonation(12.5), stat(floatability;5), stat(endurance;7.5), stat(smoke;100), engine_vibrations(-15), fuel_eff(-25), engine_c(25), boiler(-50), oil_consumption(0)",fuel_coal,,$technology_desc_engine_boiler_1,,,
engine_boiler_1_1,engine_boiler,,$technology_name_engine_boiler_1_1,1890,1,36,"start,fuel(-25), hull(-2.5), stat(fcap;-20), detonation(10), stat(floatability;3), stat(endurance;5), stat(smoke;70), engine_vibrations(-10), fuel_eff(-5), engine_c(-10), boiler(-40), oil_consumption(0), maintenance_tech(2.5)",fuel_coal_2,,$technology_desc_engine_boiler_1_1,,,
engine_boiler_2,engine_boiler,,$technology_name_engine_boiler_2,1905,1,36,"fuel(15), fuel_c(-120), hull(-1), engine_c(-125), stat(fcap;-12.5), detonation(2.5), stat(endurance;2), stat(floatability;2), stat(smoke;50), engine_vibrations(-5), fuel_eff(5), boiler(-25), oil_consumption(50), maintenance_tech(5)",fuel_oil_1,need_oil,$technology_desc_engine_boiler_2,,,
engine_boiler_2_1,engine_boiler,,$technology_name_engine_boiler_2_1,1910,1,36,"fuel(20), boiler(10),  fuel_c(-160), hull(-1), engine_c(-175), stat(fcap;-5),detonation(2.5), stat(endurance;2), stat(smoke;30), engine_vibrations(2.5), fuel_eff(7.5), boiler(-15), oil_consumption(75), maintenance_tech(7.5)",fuel_oil_1_1,need_oil,$technology_desc_engine_boiler_2_1,,,
