name,technology type,"image for ui, if any",name for ui,historical year,"max year randomization, plus-minus",difficulty of reseach modifier,effect: please see table TechEffects,,effect to add,effect description,old effect description,,comment
@name,type,#image,nameUi,year,yearRand,difficulty,effect,component,#todo,desc,#descOld,#desc3?,#comment
default,,,,-1,0,25,,,,,,,
start,special,,$technology_name_start,,,,start,,,,,,"special starting tech, all players have it researched"
# $techType_name_hull_strength,hull_strength,,,,,,,,,,,,
hull_strength_5,hull_strength,,$technology_name_hull_strength_5,1899,1,64,"hull(2.5), stat(hull_form;2.5), stat(stability;2.5), stat(endurance;2.5), engine_vibrations(2.5), unlock(b2_danton;b1_maine_semidread2;bb_1_italy_semi;b_1_usa_var_exp3;b_2_usa_semi;b_2_usa_semi2;b2_braunschweig;b3_braunschweig;b1_edward), obsolete(b1_maine;b1_3mast_spain;b1_inflex;b1_inflex_2)",,,$technology_desc_hull_strength_4,"New ship design methods allow the construction of longer and stronger hulls. *Hull weight -2.5%, Hull Form +2.5%, Stability +2.5%, Endurance +2.5%*",,
hull_strength_6,hull_strength,,$technology_name_hull_strength_6,1905,1,64,"hull(5), stat(hull_form;5), stat(stability;5), stat(floatability;5), stat(endurance;2.5), engine_vibrations(10), unlock(bb_1_russia;bb_1_russia_gangut;bb_1;bb_1_italy_small;bb_1_french;bb_1_japan;bb_1_german;bb_1_german_nassau;bb_1_usa;bb_1_russia_alt;bb_2_usa_newyork_var3;bb_1_austria;bb_1_china_semi;bb_1_spain;bb_1_german_early;bb_1_austrian_early;bb_1_greece;bb_1_italy_fast;bb_1_usa_export;bb_1_courbet), obsolete(b_1_austria;b1_massena_var1;b1_massena_var2;b1_massena_var3;b1_brennus;b1_bouvet;b1_bouvet2;b_1;b_1_usa;b_2;b_2_usa;b1_russiaold;b1_tsesarevich_france;b1_tsesarevich_russia;b_1_russia;b_2_borodino;b_2_borodino_largedeck;b_2_china_exp;b2_germany;b2_friedrich;b1_germany;b1_germanyexport;b2_germanyexport;b3_britain;b_1;b1_bouvet_semidreadnought;b1_maine_varsides;b1_maine_varsmall;b_1_italian_3mast;b_1_italian_Large_3mast;b_2_austria;b_3_russia;b_1_usa_var;b_2_italy;b_1_usa_var_exp1;b_1_usa_var_exp2;b_1_usa_var_exp3;b_2_usa_semi;b_2_usa_semi2;b_1_largegeneric;b_3_austria)",,,$technology_desc_hull_strength_6,"Technology advances allow the building of larger battleships with powerful main guns. *Allows the building of bigger dreadnought battleships, Hull Form +2.5%, Stability +2.5%, Floatability +2.5%, Endurance +2.5%*",Allows the building of bigger dreadnought battleships,
hull_strength_7,hull_strength,,$technology_name_hull_strength_7,1907,,64,"hull(0.5), stat(hull_form;0.5), stat(stability;0.5), stat(floatability;0.5), stat(endurance;0.5), engine_vibrations(1), unlock(bb_2_japan;bb_2_russia;bb_2_russia_gangut;bb_2;bb_2_usa_texas_base;bb_1_german_helgoland;bb_1_italy_medium;bb_1_large;bb_1_french_large;bb_3_usa_var;bb_1_austria_larger;bb_1_neptune), obsolete(b1_maine_semidread2;bb_1_italy_semi;b2_braunschweig;b3_braunschweig;b1_edward)",,,$technology_desc_hull_strength_7,"Technology advances allow the building of larger battleships with powerful main guns. *Allows the building of bigger dreadnought battleships, Hull Form +2.5%, Stability +2.5%, Floatability +2.5%, Endurance +2.5%*",Allows the building of bigger dreadnought battleships,
hull_strength_9,hull_strength,,$technology_name_hull_strength_9,1912,,64,"hull(5), stat(hull_form;5), stat(stability;5), stat(floatability;5), stat(endurance;2.5), unlock(bb_1_scandinavia;bb_4;bb_2_usa_newyork_var;bb_3_german;bb_3_german_exp;bb_3_japan;bb_2_britain;bb_2_Italy;bb_2_usa_newyork_base_var;bb_2_britain_alt3;bb_3_france;bb_2_britain_duke)",,,$technology_desc_hull_strength_9,"An advanced method of making ships more durable by attaching multiple metal plates around the main hull. *Allows the building of bigger dreadnought battleships, Hull Form +2.5%, Stability +2.5%, Floatability +2.5%, Endurance +2.5%*",Allows the building of bigger dreadnought battleships,
hull_strength_10,hull_strength,,$technology_name_hull_strength_10,1914,,64,"stat(endurance;2.5), engine_vibrations(5), unlock(bb_4_german;bb_4_italy;bb_2_britain_france;bb_2_britain_alt4;bb_2_usa_arizona;bb_1_usa_arizona)",,,$technology_desc_hull_strength_10,"An advanced method of making ships more durable by attaching multiple metal plates around the main hull. *Allows the building of bigger dreadnought battleships, Hull Form +2.5%, Stability +2.5%, Floatability +2.5%, Endurance +2.5%*",Allows the building of bigger dreadnought battleships,
hull_strength_11,hull_strength,,$technology_name_hull_strength_11,1916,,64,"hull(5), stat(endurance;2.5), engine_vibrations(5), unlock(bb_2_britain_alt2;bb_4_france;bb_2_usa_arizona_var;bb_1_usa_arizona_var), obsolete(bb_1_russia;bb_1_russia_gangut;bb_1;bb_1_italy_small;bb_1_french;bb_1_japan;bb_1_german;bb_1_german_nassau;bb_1_usa_export)",,,$technology_desc_hull_strength_11,The development of structural steels that meet the latest technology requirements with low production costs. *Endurance +2.5%*,,
hull_strength_12,hull_strength,,$technology_name_hull_strength_12,1919,,64,"hull(5), stat(hull_form;5), stat(endurance;2.5), unlock(bb_3_britain;bb_3_britain_elizabeth;bb_4_generic_alt;bb_modernized_sideguns_var;bb_2_usa_newyork_base;bb_4_japan;bb_5_austria_alt;bb_modernized_sideguns;bb_4_russia_small;bb_4_russia;bb_3_britain_modernized;bb_5_cesare;bb_4_germanyM), obsolete(bb_1_usa;bb_1_russia_alt;bb_2_usa_newyork_var3;bb_1_austria;bb_1_china_semi;bb_1_spain;bb_1_german_early;bb_1_austrian_early;bb_1_greece;bb_1_italy_fast;bb_1_neptune;bb_1_courbet)",,,$technology_desc_hull_strength_12,"New technology allows lighter hull materials of large strength. *Hull weight -2.5%, Hull Form +2.5%, Endurance +2.5%*",,
hull_strength_13,hull_strength,,$technology_name_hull_strength_13,1927,1,64,"hull(5), stat(stability;5), stat(floatability;5), stat(endurance;2.5), engine_vibrations(5), unlock(bb_5_assault_austria;bb_5_assault;bb_4_britain;bb_4_britain_nelson;bb_7_china_exp;bb_5_austrian_pocket;bb_5_generic_small;bb_5_kgeorge;bb_5_bismarck_small;bb_5_old;bb_usa_north_carolina_large;bb_5_italy;bb_5_france;bb_5_russia;bb_6_china;bb_6_austria;bb_5_japan;bb_6_china_exp;bb_exp_china;bb_5_exp_france;bb_4_japan_wide;bb_5_bismarck_extrasmall), obsolete(bb_4_german;bb_4_italy;bb_2_britain_france;bb_2_britain_alt4;bb_2_usa_newyork_var;bb_3_britain;bb_3_britain_elizabeth;bb_2_britain_alt2;bb_4_france;bb_2_usa_arizona_var;bb_1_scandinavia;bb_4;bb_2_usa_arizona;bb_3_german;bb_3_german_exp;bb_3_japan;bb_2_britain;bb_2_Italy;bb_2_usa_newyork_base_var;bb_2_britain_alt3;bb_3_france;bb_2_britain_duke)",,,$technology_desc_hull_strength_13,"Naval architecture reaches its peak by allowing the construction of immensely large and complex hulls. *Allows the building of bigger dreadnought battleships, Stability +2.5%, Floatability +2.5%, Endurance +2.5%",Allows the building of bigger dreadnought battleships,
hull_strength_14,hull_strength,,$technology_name_hull_strength_14,1929,,64,"stat(hull_form;5), stat(stability;5), stat(floatability;5), stat(endurance;2.5), engine_vibrations(5), unlock(bb_6_iowa;bb_6;bb_7_austria;bb_7_kgeorge;bb_7_littorio;bb_7_china;bb_6_italy;bb_6_spain;bb_6_kgeorge;bb_6_russia;bb_5;bb_5_iowa_small;bb_5_bismarck;bb_5_richelieu;bb_8_china;bb_6_bismarck;bb_7_russia;bb_6_richelieu;bb_5_alsace;bb_7_spain;bb_5_richie_compact;bb_5_bisko_compact;bb_5_soyuz_compact;bb_5_kgeorg_compact;bb_5_littorio_compact;bb_5_iowa_compact;bb_5_japan_compact), obsolete(bb_4_generic_alt;bb_4_germanyM;bb_modernized_sideguns_var;bb_2_usa_newyork_base;bb_4_japan;bb_5_austria_alt;bb_modernized_sideguns;bb_4_russia_small;bb_4_russia;bb_3_britain_modernized;bb_5_cesare;bb_4_japan_3;bb_2_usa_newyork_wide;bb_4_japan_2;bb_4_generic;bb_4_usa_modernized;bb_5_austria;bb_5_china;bb_5_mod_france;bb_4_russiaF2;bb_4_aushunF;bb_4_japanF;bb_4_franceF;bb_4_italyF;bb_4_usaF;bb_4_germanyF;bb_4_britainF;bb_4_spainF;bb_4_chinaF;bb_4_portugalF;bb_4_dutchF)",,,$technology_desc_hull_strength_14,"Ship design of the highest standards is possible by applying the latest scientific methods. *Hull Form +2.5%, Stability +2.5%, Floatability +2.5%, Endurance +2.5%*",,
# $techType_name_hull_destroyer,hull_destroyer,,,,,,,,,,,,
hull_destroyer_16,hull_destroyer,,$technology_name_hull_destroyer_16,1915,,36,"tonnage(dd;1700), unlock(dd_4_france;dd_4_german)",,,$technology_desc_hull_destroyer_6,"Allows the construction of DD up to 1,700 tons displacement.",,
# $techType_name_hull_cruiser,hull_cruiser,,,,,,,,,,,,
hull_cruiser_6,hull_cruiser,,$technology_name_hull_cruiser_6,1902,,23,"tonnage(cl;6000), unlock(cl_2_emden;cl_3_france;cl_3_russia;cl_3_japan_small;cl_3_britain;cl_2_brazil)",,,$technology_desc_hull_cruiser_6,"Allows the construction of CL class Cruiser up to 6,000 tons displacement",,
hull_cruiser_12,hull_cruiser,,$technology_name_hull_cruiser_12,1913,,23,"tonnage(cl;10000), unlock(cl_5_france_exp;cl_5_german_treaty;cl_5_russian_light;cl_5_britain;cl_5_generic2_C_class), obsolete(cl_2_emden;cl_3_france;cl_3_russia;cl_3_japan_small;cl_3_britain;cl_2_brazil)",,,$technology_desc_hull_cruiser_12,"Allows the construction of CL class Cruiser up to 9,500 tons displacement.",,
